dataset,model,cal_size,test_size,Venn-Abers_brier,Venn-Abers_logloss,Venn-Abers_kuiper,Venn-Abers_ece-15,Venn-Abers_accuracy,Venn-Abers_time
NATICUSdroid,RealMLP_GPU,4994,2497,0.08437807207811987,0.14441266161680366,0.007847629487514496,0.012022881768643856,0.9427312612533569,0.1091446818318218
bank-marketing,RealMLP_GPU,30140,15071,0.17156830848169144,0.2996939101876406,0.005391208454966545,0.006200246512889862,0.8944330215454102,0.18111595092341304
blood-transfusion-service-center,RealMLP_GPU,498,250,0.30563501265731496,0.48876861427558504,0.051800183951854706,0.07881985604763031,0.8119999766349792,0.005320805823430419
churn,RealMLP_GPU,3333,1667,0.06521871170715139,0.14029430812277127,0.024137098342180252,0.03070465847849846,0.962207555770874,0.042612645076587796
coil2000_insurance_policies,RealMLP_GPU,6548,3274,0.1062566518433993,0.20309129703599738,0.010157877579331398,0.010832738131284714,0.9404398202896118,0.047618380980566144
credit-g,RealMLP_GPU,666,334,0.3295337444388565,0.5008981451407416,0.04563165083527565,0.06593810021877289,0.7544910311698914,0.005643571959808469
credit_card_clients_default,RealMLP_GPU,20000,10000,0.26393127149242646,0.4223998097814152,0.010256677865982056,0.01457304134964943,0.8227999806404114,0.10447348491288722
customer_satisfaction_in_airline,RealMLP_GPU,86586,43294,0.053418284929730386,0.08550094561352393,0.002001051791012287,0.0031838996801525354,0.9622118473052979,2.9874479330610484
diabetes,RealMLP_GPU,512,256,0.30212902547645887,0.4614365897826075,0.019519545137882233,0.031317487359046936,0.78125,0.006538431858643889
hazelnut-spread-contaminant-detection,RealMLP_GPU,1600,800,0.09188524777268613,0.16329138184766773,0.019465140998363495,0.023744244128465652,0.9362499713897705,0.03548129787668586
heloc,RealMLP_GPU,6972,3487,0.36248854760946475,0.5421842417045059,0.011747129261493683,0.021828865632414818,0.7341554164886475,0.038894196040928364
in_vehicle_coupon_recommendation,RealMLP_GPU,8456,4228,0.3049262233466648,0.46905747527674435,0.01913425326347351,0.03164416179060936,0.7812204360961914,0.05462509812787175
jm1,RealMLP_GPU,7256,3629,0.26845688625006725,0.4249045256451536,0.020500548183918,0.01745673455297947,0.8142738938331604,0.036079179029911757
kddcup09_appetency,RealMLP_GPU,33333,16667,0.03337044995196316,0.07529367723594958,0.0016974536702036858,0.00046306417789310217,0.9821803569793701,0.5976517121307552
online_shoppers_intention,RealMLP_GPU,8220,4110,0.14433136504793118,0.23357231350095609,0.006253404077142477,0.01183117926120758,0.9012165665626526,0.17603041301481426
polish_companies_bankruptcy,RealMLP_GPU,3940,1970,0.04491799867084222,0.08877677991885091,0.011788125149905682,0.014571575447916985,0.9720812439918518,0.10349357780069113
qsar-biodeg,RealMLP_GPU,702,352,0.18462900151737935,0.31806925213660564,0.03355187922716141,0.06626331061124802,0.8892045617103577,0.00940274796448648
seismic-bumps,RealMLP_GPU,1722,862,0.11150059815425212,0.20809800822785118,0.011531125754117966,0.009583708830177784,0.9338747262954712,0.016493669943884015
taiwanese_bankruptcy_prediction,RealMLP_GPU,4546,2273,0.04511841900152427,0.08207410302947035,0.011091096326708794,0.009890369139611721,0.968323826789856,0.10964428610168397
APSFailure,BetaTabPFN_GPU,50666,25334,0.009502012131779114,0.01792939250115747,0.0016353274695575237,0.0021978148724883795,0.9938422441482544,0.10226010903716087
Amazon_employee_access,BetaTabPFN_GPU,21846,10923,0.08836625132913095,0.1672583152363478,0.006077960133552551,0.009427972137928009,0.9457108974456787,0.0202156868763268
Bank_Customer_Churn,BetaTabPFN_GPU,6666,3334,0.1972587997585544,0.3226556932345717,0.00760347954928875,0.016339844092726707,0.8677264451980591,0.015970676904544234
Bioresponse,BetaTabPFN_GPU,2500,1251,0.3136265696284815,0.47749906632194883,0.028562873601913452,0.04258934035897255,0.7617905735969543,0.01129272603429854
Diabetes130US,BetaTabPFN_GPU,47678,23840,0.1549853399036413,0.28323494742495225,0.009430143982172012,0.007083281874656677,0.9118707776069641,0.016569364117458463
E-CommereShippingData,BetaTabPFN_GPU,7332,3667,0.3544743793078613,0.49610176072098255,0.0393943265080452,0.019042151048779488,0.6910281181335449,0.03364285291172564
Fitness_Club,BetaTabPFN_GPU,1000,500,0.31441101749296335,0.4798466927743493,0.016308924183249474,0.03082330711185932,0.7699999809265137,0.006697552045807242
GiveMeSomeCredit,BetaTabPFN_GPU,100000,50000,0.09734714145283133,0.1760400955682972,0.0025369813665747643,0.003751357551664114,0.9379799962043762,0.027505564969033003
HR_Analytics_Job_Change_of_Data_Scientists,BetaTabPFN_GPU,12772,6386,0.27196938730163234,0.4276543075993839,0.009493988007307053,0.017711631953716278,0.8023802042007446,0.009244526969268918
Is-this-a-good-customer,BetaTabPFN_GPU,1148,575,0.19102152611586906,0.3238652559356924,0.021946102380752563,0.042634084820747375,0.8695651888847351,0.009727466152980924
Marketing_Campaign,BetaTabPFN_GPU,1493,747,0.13718652090796962,0.22497254616024487,0.01972782239317894,0.02795870415866375,0.9062918424606323,0.01884704316034913
NATICUSdroid,BetaTabPFN_GPU,4994,2497,0.08578347853101194,0.14819095571001106,0.00684795156121254,0.010961473919451237,0.9423307776451111,0.07316979486495256
