dataset,model,cal_size,test_size,CIR_brier,CIR_logloss,CIR_kuiper,CIR_ece-15,CIR_accuracy,CIR_time
in_vehicle_coupon_recommendation,TabICL_GPU,8456,4228,0.3076308102466159,0.49267527756490204,0.010708361864089966,0.026740601286292076,0.7755439877510071,0.005811383947730064
jm1,TabICL_GPU,7256,3629,0.25671883012663943,0.5446231966112319,0.00584590807557106,0.011127157136797905,0.8228161931037903,0.0051378109492361546
kddcup09_appetency,TabICL_GPU,33333,16667,0.03366416638569196,0.0769359394932326,0.0016606890130788088,0.0006321014952845871,0.9821803569793701,0.011573284165933728
online_shoppers_intention,TabICL_GPU,8220,4110,0.14102606796545225,0.2448463087289022,0.007121744565665722,0.012365642003715038,0.8987834453582764,0.005142100853845477
polish_companies_bankruptcy,TabICL_GPU,3940,1970,0.041865120319852143,0.12112867210488716,0.005726964678615332,0.00944080576300621,0.9746192693710327,0.0034588698763400316
qsar-biodeg,TabICL_GPU,702,352,0.17496446947328037,0.7644503133267364,0.03428354859352112,0.055712055414915085,0.8863636255264282,0.002328716916963458
seismic-bumps,TabICL_GPU,1722,862,0.11064432886656532,0.20532019274792182,0.011275219731032848,0.007743161637336016,0.9338747262954712,0.0026919671799987555
taiwanese_bankruptcy_prediction,TabICL_GPU,4546,2273,0.04415966642164149,0.08055910060320151,0.004979842342436314,0.006044704467058182,0.9718433618545532,0.0035605919547379017
Amazon_employee_access,LimiX_GPU,21846,10923,0.08273069181908756,0.174945325886793,0.002966552972793579,0.0030055490788072348,0.9483658075332642,0.008941239910200238
Bank_Customer_Churn,LimiX_GPU,6666,3334,0.19740367493688477,0.3473178271719696,0.008868593722581863,0.018164925277233124,0.8689262270927429,0.0047430230770260096
Bioresponse,LimiX_GPU,2500,1251,0.2758012056636111,0.42579282261528645,0.02198094129562378,0.038243841379880905,0.8001598715782166,0.003247987013310194
E-CommereShippingData,LimiX_GPU,7332,3667,0.35464889619636625,0.518373296171641,0.010729951784014702,0.011679373681545258,0.6880283355712891,0.004307884955778718
Fitness_Club,LimiX_GPU,1000,500,0.3151521650936438,0.4803672212058176,0.020613498985767365,0.03684483468532562,0.777999997138977,0.0026062780525535345
HR_Analytics_Job_Change_of_Data_Scientists,LimiX_GPU,12772,6386,0.26797230202728844,0.42231330868521116,0.007016319781541824,0.012110777199268341,0.8075477480888367,0.006175704998895526
Is-this-a-good-customer,LimiX_GPU,1148,575,0.1891558412797268,0.32556768957206195,0.012011583894491196,0.02843470126390457,0.8852173686027527,0.00272655813023448
Marketing_Campaign,LimiX_GPU,1493,747,0.1321330779239957,0.21027663424932638,0.012025397270917892,0.018785223364830017,0.9036144614219666,0.002815783955156803
NATICUSdroid,LimiX_GPU,4994,2497,0.0846559934203635,0.27583118247503524,0.006819847971200943,0.011912121437489986,0.9427312612533569,0.003989156102761626
bank-marketing,LimiX_GPU,30140,15071,0.17167576342357302,0.29938856090490334,0.005398645997047424,0.007757897023111582,0.8944330215454102,0.011204341892153025
blood-transfusion-service-center,LimiX_GPU,498,250,0.3084611616232246,0.4978847094046169,0.049862440675497055,0.08142474293708801,0.800000011920929,0.002319058869034052
churn,LimiX_GPU,3333,1667,0.06622908124315546,0.3361951073489716,0.009180333465337753,0.012160270474851131,0.9592081308364868,0.003270425135269761
coil2000_insurance_policies,LimiX_GPU,6548,3274,0.1054209581463528,0.19822850157971122,0.004519733600318432,0.005494170822203159,0.9404398202896118,0.004346761852502823
credit-g,LimiX_GPU,666,334,0.314071267492692,0.4869804247600607,0.04568151384592056,0.08417442440986633,0.796407163143158,0.0023776430170983076
credit_card_clients_default,LimiX_GPU,20000,10000,0.26347313749398765,0.42079855093694407,0.0034796372056007385,0.009457632899284363,0.8226000070571899,0.009065973805263638
diabetes,LimiX_GPU,512,256,0.3137199953082156,0.8009968273460917,0.025842653587460518,0.06333761662244797,0.7734375,0.002582741202786565
hazelnut-spread-contaminant-detection,LimiX_GPU,1600,800,0.07264960805267316,0.1260447399495014,0.008473578840494156,0.018092002719640732,0.9524999856948853,0.0028933410067111254
