dataset,model,cal_size,test_size,Hist-quantile_brier,Hist-quantile_logloss,Hist-quantile_kuiper,Hist-quantile_ece-15,Hist-quantile_accuracy,Hist-quantile_time
in_vehicle_coupon_recommendation,TabICL_GPU,8456,4228,0.3101987882870862,0.4759141138530418,0.023967355489730835,0.012620952911674976,0.7767266035079956,0.0012813371140509844
jm1,TabICL_GPU,7256,3629,0.25865655561356604,0.40942108534479815,0.016780760139226913,0.007074405439198017,0.8203361630439758,0.0011077250819653273
kddcup09_appetency,TabICL_GPU,33333,16667,0.03397361346675929,0.07815304792035335,0.0055166142992675304,0.0009157424210570753,0.9821803569793701,0.003498497884720564
online_shoppers_intention,TabICL_GPU,8220,4110,0.14837189690494546,0.23660867990101817,0.026462964713573456,0.009891044348478317,0.8958637714385986,0.0013039330951869488
polish_companies_bankruptcy,TabICL_GPU,3940,1970,0.06532019431883834,0.15108523078004082,0.016568321734666824,0.0017637964338064194,0.9517766237258911,0.0008520898409187794
qsar-biodeg,TabICL_GPU,702,352,0.18408163265306127,0.774345791131875,0.02885553240776062,0.031087636947631836,0.8778409361839294,0.0005298389587551355
seismic-bumps,TabICL_GPU,1722,862,0.11152038136473398,0.2982540288249831,0.021840939298272133,0.00979113020002842,0.9338747262954712,0.0006286448333412409
taiwanese_bankruptcy_prediction,TabICL_GPU,4546,2273,0.05269456911637834,0.09299846790751312,0.017816413193941116,0.003281680168583989,0.967883825302124,0.0009009579662233591
Amazon_employee_access,LimiX_GPU,21846,10923,0.08918861766729662,0.16652326939750664,0.019659336656332016,0.002328893169760704,0.9421404600143433,0.0026272530667483807
Bank_Customer_Churn,LimiX_GPU,6666,3334,0.20120161543494838,0.3298669188470235,0.024492397904396057,0.01649225316941738,0.8653269410133362,0.001121664885431528
Bioresponse,LimiX_GPU,2500,1251,0.2778182446043166,0.43128658330833564,0.027772963047027588,0.028882494196295738,0.7969624400138855,0.0006607240065932274
E-CommereShippingData,LimiX_GPU,7332,3667,0.36035147904781456,0.5081161786239846,0.0406903401017189,0.01744568720459938,0.6883010864257812,0.0011448150034993887
Fitness_Club,LimiX_GPU,1000,500,0.32367880000000004,0.49421354530531564,0.026399997994303703,0.040300000458955765,0.7699999809265137,0.0005309211555868387
HR_Analytics_Job_Change_of_Data_Scientists,LimiX_GPU,12772,6386,0.27066523665314807,0.42596145500686133,0.028703894466161728,0.02022569254040718,0.8056686520576477,0.0017521809786558151
Is-this-a-good-customer,LimiX_GPU,1148,575,0.1908556007888879,0.3287624356482272,0.021136736497282982,0.01393824815750122,0.8852173686027527,0.0005556750111281872
Marketing_Campaign,LimiX_GPU,1493,747,0.14126955984062503,0.22676939547564495,0.02340458519756794,0.019353080540895462,0.904953122138977,0.0005677598528563976
NATICUSdroid,LimiX_GPU,4994,2497,0.09063022999385881,0.18463437660050386,0.02164517715573311,0.013498442247509956,0.936724066734314,0.0008579560089856386
bank-marketing,LimiX_GPU,30140,15071,0.17773191038468264,0.3062891024514979,0.019266756251454353,0.006991216912865639,0.8830203413963318,0.00320261693559587
blood-transfusion-service-center,LimiX_GPU,498,250,0.3123419558201682,0.504611405211147,0.04799182713031769,0.06987539678812027,0.7960000038146973,0.0005032948683947325
churn,LimiX_GPU,3333,1667,0.07622411405572689,0.15428540867760313,0.017061421647667885,0.008213089779019356,0.9556089043617249,0.0007750110235065222
coil2000_insurance_policies,LimiX_GPU,6548,3274,0.10531973007242812,0.19872361078748585,0.01589297130703926,0.0020755426958203316,0.9404398202896118,0.001102467067539692
credit-g,LimiX_GPU,666,334,0.32521549379824366,2.005396576653942,0.049088407307863235,0.07112300395965576,0.796407163143158,0.0004919921047985554
credit_card_clients_default,LimiX_GPU,20000,10000,0.26559745879999996,0.42367983951252447,0.017270833253860474,0.002890900010243058,0.8222000002861023,0.0024300809018313885
diabetes,LimiX_GPU,512,256,0.30492605931890104,0.7879188548184727,0.04564950615167618,0.06020219251513481,0.75390625,0.0004833359271287918
hazelnut-spread-contaminant-detection,LimiX_GPU,1600,800,0.08337236328125,0.14149208482101605,0.02480468899011612,0.009914073161780834,0.9487500190734863,0.0005684371571987867
heloc,LimiX_GPU,6972,3487,0.36454595741966545,0.5449572193355139,0.023722052574157715,0.020484162494540215,0.7341554164886475,0.001117439940571785
in_vehicle_coupon_recommendation,LimiX_GPU,8456,4228,0.35329722225414373,0.5315702654762035,0.03330886363983154,0.02230263501405716,0.7464522123336792,0.00123454793356359
jm1,LimiX_GPU,7256,3629,0.2681605850266547,0.4223206463111117,0.01839272305369377,0.008867867290973663,0.8065582513809204,0.001181816915050149
online_shoppers_intention,LimiX_GPU,8220,4110,0.14880803276776136,0.23780864931059417,0.02717897668480873,0.009121986106038094,0.8948904871940613,0.0012182400096207857
polish_companies_bankruptcy,LimiX_GPU,3940,1970,0.06618826838141185,0.10886511392512727,0.018279263749718666,0.003426993265748024,0.9512690305709839,0.0008263739291578531
qsar-biodeg,LimiX_GPU,702,352,0.17601105857754906,0.7725684327411407,0.03133116662502289,0.03869808465242386,0.8920454382896423,0.0004978319630026817
seismic-bumps,LimiX_GPU,1722,862,0.10958277668689592,0.20441497328745792,0.01783725991845131,0.00990730058401823,0.9338747262954712,0.000602163840085268
taiwanese_bankruptcy_prediction,LimiX_GPU,4546,2273,0.05255186891496481,0.1640830524619233,0.01689106971025467,0.004463345278054476,0.967883825302124,0.0008850579615682364
APSFailure,TabM_GPU,50666,25334,0.030314536340560465,0.05012918173201919,0.013684738427400589,0.0015410020714625716,0.9818820357322693,0.0052364428993314505
Amazon_employee_access,TabM_GPU,21846,10923,0.09309292664453013,0.17178935724896383,0.02310623973608017,0.00430184556171298,0.9421404600143433,0.002687151078134775
Bank_Customer_Churn,TabM_GPU,6666,3334,0.20166150212313308,0.33042713249015815,0.023373760282993317,0.01450386829674244,0.8641271591186523,0.0011225061025470495
Bioresponse,TabM_GPU,2500,1251,0.28631589448441247,0.4463523980752199,0.025061551481485367,0.028137490153312683,0.7937650084495544,0.0006844939198344946
Diabetes130US,TabM_GPU,47678,23840,0.1549451561253865,0.2823990484457544,0.014286022633314133,0.0036635485012084246,0.9119966626167297,0.004793877946212888
E-CommereShippingData,TabM_GPU,7332,3667,0.36098464984838147,0.5100024351705691,0.03519298508763313,0.022990234196186066,0.6904826760292053,0.001267170999199152
Fitness_Club,TabM_GPU,1000,500,0.32372159999999994,0.4932058763286159,0.026760002598166466,0.03420000150799751,0.7620000243186951,0.0005608987994492054
GiveMeSomeCredit,TabM_GPU,100000,50000,0.1019708430428,0.1809652792985502,0.019348958507180214,0.0012356099905446172,0.9331600069999695,0.009347910061478615
HR_Analytics_Job_Change_of_Data_Scientists,TabM_GPU,12772,6386,0.271701300661273,0.4271016217967507,0.028110750019550323,0.019617149606347084,0.8066082000732422,0.0017641130834817886
Is-this-a-good-customer,TabM_GPU,1148,575,0.1930805614073539,0.33203523782895744,0.03169927000999451,0.029077837243676186,0.8852173686027527,0.0005772088188678026
Marketing_Campaign,TabM_GPU,1493,747,0.143377536122633,0.2273804757649769,0.025488976389169693,0.022789154201745987,0.898259699344635,0.0005818500649183989
NATICUSdroid,TabM_GPU,4994,2497,0.0925925870292386,0.15639922472485504,0.030997145920991898,0.016469256952404976,0.9359230995178223,0.0008884700946509838
bank-marketing,TabM_GPU,30140,15071,0.1771035675151871,0.30525240466352793,0.018231112509965897,0.0033055217936635017,0.8830203413963318,0.0032920280937105417
blood-transfusion-service-center,TabM_GPU,498,250,0.30245025065489184,0.47968332301175126,0.035030387341976166,0.04987447336316109,0.8040000200271606,0.000540468143299222
churn,TabM_GPU,3333,1667,0.07268042433097961,0.15303878207257207,0.016917716711759567,0.01275344006717205,0.9598080515861511,0.000808115117251873
coil2000_insurance_policies,TabM_GPU,6548,3274,0.10628329938771267,0.2045497074230301,0.016973890364170074,0.009082971140742302,0.9404398202896118,0.001111381920054555
credit-g,TabM_GPU,666,334,0.33762484751229027,0.5120217975705901,0.06319990754127502,0.048988182097673416,0.7455089688301086,0.0004989989101886749
credit_card_clients_default,TabM_GPU,20000,10000,0.2655783057,0.4234854967922529,0.014534153044223785,0.010256700217723846,0.8223000168800354,0.0024380499962717295
customer_satisfaction_in_airline,TabM_GPU,86586,43294,0.06024782998565421,0.09466218301556602,0.022577453404664993,0.0007728643249720335,0.9512172341346741,0.006642605876550078
diabetes,TabM_GPU,512,256,0.35714882699729733,0.5362569778199322,0.058287374675273895,0.1042020171880722,0.765625,0.0005961828865110874
hazelnut-spread-contaminant-detection,TabM_GPU,1600,800,0.11522783203124998,0.18949914554720448,0.024492187425494194,0.011960961855947971,0.925000011920929,0.0006195299793034792
heloc,TabM_GPU,6972,3487,0.36746400751615244,0.5479533583420209,0.023405253887176514,0.01775186136364937,0.7212503552436829,0.0011312570422887802
in_vehicle_coupon_recommendation,TabM_GPU,8456,4228,0.30125667438555837,0.4647230729791432,0.0331730991601944,0.022217774763703346,0.785950779914856,0.0012097540311515331
jm1,TabM_GPU,7256,3629,0.2722804079209583,0.4316094398780559,0.018399007618427277,0.010861408896744251,0.8065582513809204,0.0011331180576235056
kddcup09_appetency,TabM_GPU,33333,16667,0.033926603621848246,0.07754048845275821,0.00600135512650013,0.0004536024061962962,0.9821803569793701,0.003691017162054777
online_shoppers_intention,TabM_GPU,8220,4110,0.14792091225183063,0.23731267761605002,0.026120489463210106,0.009058700874447823,0.8963503837585449,0.0012737370561808348
polish_companies_bankruptcy,TabM_GPU,3940,1970,0.06789840077129003,0.11039610261992724,0.019763458520174026,0.006343928165733814,0.9451776742935181,0.0008143428713083267
qsar-biodeg,TabM_GPU,702,352,0.1834230055658627,0.7804372663600758,0.03656655550003052,0.039448030292987823,0.875,0.0005063849966973066
seismic-bumps,TabM_GPU,1722,862,0.11326900813542715,0.20891652384157428,0.015499373897910118,0.00530665647238493,0.9338747262954712,0.0006153630092740059
taiwanese_bankruptcy_prediction,TabM_GPU,4546,2273,0.052705739416334114,0.09211588094431392,0.016663845628499985,0.0037466620560735464,0.967883825302124,0.0009120570030063391
APSFailure,RealMLP_GPU,50666,25334,0.030341470286700405,0.05664225417209882,0.011377665214240551,0.0018389857141301036,0.9818820357322693,0.004885357804596424
Amazon_employee_access,RealMLP_GPU,21846,10923,0.08665458972883232,0.15922031139063833,0.01991630718111992,0.005033049266785383,0.9421404600143433,0.002698351861909032
Bank_Customer_Churn,RealMLP_GPU,6666,3334,0.1987815376892886,0.3267025427844617,0.02415766939520836,0.012133684009313583,0.8644270896911621,0.001119712134823203
Bioresponse,RealMLP_GPU,2500,1251,0.2835311782573941,0.44251197151570915,0.027472414076328278,0.043015189468860626,0.79536372423172,0.000685692997649312
Diabetes130US,RealMLP_GPU,47678,23840,0.15408498381537125,0.2804356300217851,0.012337712571024895,0.006026469171047211,0.9119966626167297,0.004856269108131528
E-CommereShippingData,RealMLP_GPU,7332,3667,0.35914396362023826,0.5064366969607966,0.03861251473426819,0.038448773324489594,0.6700299978256226,0.0012301790993660688
Fitness_Club,RealMLP_GPU,1000,500,0.3213224,0.4925993959412704,0.038899995386600494,0.03700000047683716,0.7760000228881836,0.00054784188978374
GiveMeSomeCredit,RealMLP_GPU,100000,50000,0.10200076011239999,0.18113479183938055,0.022340158000588417,0.0009186940151266754,0.9331600069999695,0.014273121953010559
HR_Analytics_Job_Change_of_Data_Scientists,RealMLP_GPU,12772,6386,0.27287946202805663,0.42857091335303427,0.025586143136024475,0.011377346701920033,0.8015972375869751,0.0019179892260581255
Is-this-a-good-customer,RealMLP_GPU,1148,575,0.18658651472962087,0.319545132956706,0.026434779167175293,0.015753788873553276,0.8852173686027527,0.0005981228314340115
Marketing_Campaign,RealMLP_GPU,1493,747,0.15021171569049246,0.24003315822177054,0.029064806178212166,0.016889574006199837,0.898259699344635,0.0005855439230799675
NATICUSdroid,RealMLP_GPU,4994,2497,0.09342263637012926,0.15624498278058158,0.02429315075278282,0.015545976348221302,0.9343211650848389,0.0008812481537461281
bank-marketing,RealMLP_GPU,30140,15071,0.1777903141944967,0.30610170067936193,0.019603852182626724,0.004193268250674009,0.8830203413963318,0.003403028007596731
blood-transfusion-service-center,RealMLP_GPU,498,250,0.3243916291339585,0.5282216809270528,0.04829047992825508,0.09166304767131805,0.800000011920929,0.0005184069741517305
churn,RealMLP_GPU,3333,1667,0.07173866186584422,0.152372951715216,0.022034116089344025,0.023363089188933372,0.9592081308364868,0.0007862839847803116
coil2000_insurance_policies,RealMLP_GPU,6548,3274,0.10682217155302672,0.20405978942738834,0.016892017796635628,0.010267071425914764,0.9404398202896118,0.0010846019722521305
credit-g,RealMLP_GPU,666,334,0.32415502555897757,0.49432704029771035,0.04560012370347977,0.04126211628317833,0.7694610953330994,0.0004574880003929138
credit_card_clients_default,RealMLP_GPU,20000,10000,0.26541774,0.42408796961001816,0.015134401619434357,0.012507700361311436,0.8217999935150146,0.0024287160485982895
customer_satisfaction_in_airline,RealMLP_GPU,86586,43294,0.06077958949253118,0.09871996608639676,0.022330675274133682,0.0025388915091753006,0.9509862661361694,0.006721883080899715
diabetes,RealMLP_GPU,512,256,0.30390962733168736,1.1098914558345143,0.018841911107301712,0.05220998823642731,0.77734375,0.0005842379759997129
hazelnut-spread-contaminant-detection,RealMLP_GPU,1600,800,0.09013408203124999,0.2623746862882313,0.028828123584389687,0.02241407334804535,0.949999988079071,0.000626028049737215
heloc,RealMLP_GPU,6972,3487,0.3635781513041551,0.5434533905241788,0.020011208951473236,0.01965099759399891,0.7292801737785339,0.0011647120118141174
in_vehicle_coupon_recommendation,RealMLP_GPU,8456,4228,0.30523135086803604,0.4691902089106193,0.035257428884506226,0.0302153117954731,0.785004734992981,0.0012498260475695133
jm1,RealMLP_GPU,7256,3629,0.26812579007990706,0.4242224360865502,0.016612447798252106,0.012237487360835075,0.8112427592277527,0.0012096131686121225
kddcup09_appetency,RealMLP_GPU,33333,16667,0.03380730544017748,0.07651722098267219,0.007723621092736721,0.0009314183262176812,0.9821803569793701,0.0037538749165832996
online_shoppers_intention,RealMLP_GPU,8220,4110,0.15016860845315746,0.2408728164521993,0.027950042858719826,0.00867356639355421,0.8941605687141418,0.0013003649655729532
polish_companies_bankruptcy,RealMLP_GPU,3940,1970,0.06972502845838915,0.28284975203868984,0.016985751688480377,0.0053943125531077385,0.9472081065177917,0.0008385281544178724
qsar-biodeg,RealMLP_GPU,702,352,0.1840769620006485,1.0309986837294645,0.03774406015872955,0.05178626626729965,0.8835227489471436,0.0005164800677448511
seismic-bumps,RealMLP_GPU,1722,862,0.11147782431613121,0.20723477452527542,0.011453397572040558,0.017278583720326424,0.9338747262954712,0.0006431059446185827
taiwanese_bankruptcy_prediction,RealMLP_GPU,4546,2273,0.052232160630329524,0.12724576143960867,0.01772165298461914,0.003649299032986164,0.967883825302124,0.0009036429692059755
APSFailure,BetaTabPFN_GPU,50666,25334,0.030141499080708775,0.04964404284209951,0.012231599539518356,0.0010349326767027378,0.9818820357322693,0.004953793017193675
Amazon_employee_access,BetaTabPFN_GPU,21846,10923,0.09237475527215631,0.17193879313013208,0.01471446081995964,0.005936190485954285,0.9421404600143433,0.002656589960679412
Bank_Customer_Churn,BetaTabPFN_GPU,6666,3334,0.1993472755450361,0.32795483487348537,0.023443633690476418,0.01672002673149109,0.8677264451980591,0.0011496508959680796
Bioresponse,BetaTabPFN_GPU,2500,1251,0.31535183078250156,0.4794992595262412,0.03239022195339203,0.03426054120063782,0.7641886472702026,0.0007260860875248909
Diabetes130US,BetaTabPFN_GPU,47678,23840,0.15549540173127976,0.28400604262275625,0.015299122780561447,0.006687363144010305,0.9119966626167297,0.0048910449258983135
E-CommereShippingData,BetaTabPFN_GPU,7332,3667,0.35805693694193774,0.506073856344842,0.0247175469994545,0.011374851688742638,0.6915735006332397,0.0012203839141875505
Fitness_Club,BetaTabPFN_GPU,1000,500,0.31435365444565255,0.4797758000603447,0.026301393285393715,0.025750793516635895,0.7739999890327454,0.0005430809687823057
GiveMeSomeCredit,BetaTabPFN_GPU,100000,50000,0.10211479648215577,0.18149044666578085,0.018702341243624687,0.001167768845334649,0.9331600069999695,0.00868450803682208
HR_Analytics_Job_Change_of_Data_Scientists,BetaTabPFN_GPU,12772,6386,0.2740757870103082,0.4303994170962616,0.02739952877163887,0.010021171532571316,0.8020670413970947,0.0017736959271132946
Is-this-a-good-customer,BetaTabPFN_GPU,1148,575,0.18993112506375234,0.32450882802837283,0.02323463186621666,0.02469017542898655,0.8852173686027527,0.000597665086388588
Marketing_Campaign,BetaTabPFN_GPU,1493,747,0.13897098648084422,0.22531420167596966,0.029235508292913437,0.02416127175092697,0.9076305031776428,0.0005823068786412477
NATICUSdroid,BetaTabPFN_GPU,4994,2497,0.09236743691593373,0.22124595437576827,0.023912228643894196,0.009106535464525223,0.9343211650848389,0.0009059030562639236
bank-marketing,BetaTabPFN_GPU,30140,15071,0.17743153327935082,0.30588652511792314,0.018501242622733116,0.005018129013478756,0.8830203413963318,0.0033023308496922255
blood-transfusion-service-center,BetaTabPFN_GPU,498,250,0.31390149690967223,0.5261384546822355,0.05719350278377533,0.12721984088420868,0.800000011920929,0.0005262268241494894
churn,BetaTabPFN_GPU,3333,1667,0.07447200346527501,0.14926121825670108,0.01652642711997032,0.0077339778654277325,0.9562087655067444,0.0007925489917397499
coil2000_insurance_policies,BetaTabPFN_GPU,6548,3274,0.1065702477865689,0.20465561886237293,0.013354082591831684,0.002427829196676612,0.9404398202896118,0.0011042128317058086
credit-g,BetaTabPFN_GPU,666,334,0.34891352931281294,0.5218749794180066,0.05898400768637657,0.07609695941209793,0.7245509028434753,0.0004756329581141472
credit_card_clients_default,BetaTabPFN_GPU,20000,10000,0.26501755217167583,0.4228563027420334,0.016258198767900467,0.007260872982442379,0.8224999904632568,0.002498628105968237
customer_satisfaction_in_airline,BetaTabPFN_GPU,86586,43294,0.07685398899928164,0.12673480059833508,0.022045254707336426,0.0028512971475720406,0.9404074549674988,0.0069583558943122625
diabetes,BetaTabPFN_GPU,512,256,0.3188444177119378,0.480116499894622,0.04316176474094391,0.04191712662577629,0.7578125,0.0005707708187401295
hazelnut-spread-contaminant-detection,BetaTabPFN_GPU,1600,800,0.13132470703125,0.428599983088492,0.02318749949336052,0.01939840242266655,0.918749988079071,0.0006549898535013199
heloc,BetaTabPFN_GPU,6972,3487,0.3634219454773066,0.5427948376375047,0.022067219018936157,0.013168977573513985,0.7272727489471436,0.0011745418887585402
in_vehicle_coupon_recommendation,BetaTabPFN_GPU,8456,4228,0.3218905276960677,0.49117448214102993,0.02209112048149109,0.018811872228980064,0.7672658562660217,0.001313118962571025
jm1,BetaTabPFN_GPU,7256,3629,0.26919558056006504,0.42592084925097085,0.020471587777137756,0.01335898693650961,0.814549446105957,0.0011590220965445042
kddcup09_appetency,BetaTabPFN_GPU,33333,16667,0.03395490895182895,0.07850682172062089,0.007477339822798967,0.000656072108540684,0.9821803569793701,0.0035632650833576918
online_shoppers_intention,BetaTabPFN_GPU,8220,4110,0.14657493682996758,0.2347840189865085,0.028229571878910065,0.007575975731015205,0.8970803022384644,0.0012820279225707054
polish_companies_bankruptcy,BetaTabPFN_GPU,3940,1970,0.07316259508926301,0.16144234702795435,0.015895795077085495,0.005143277812749147,0.9416243433952332,0.0008449300657957792
qsar-biodeg,BetaTabPFN_GPU,702,352,0.20139065178344745,0.8061236433026955,0.03066021203994751,0.04250594228506088,0.8693181872367859,0.0005009518936276436
seismic-bumps,BetaTabPFN_GPU,1722,862,0.11159711395323546,0.3984348216064782,0.013992847874760628,0.013421468436717987,0.9338747262954712,0.0006144270300865173
taiwanese_bankruptcy_prediction,BetaTabPFN_GPU,4546,2273,0.05250350587024397,0.12843964938117655,0.019211670383810997,0.0028267870657145977,0.967883825302124,0.0008946130983531475
APSFailure,ModernNCA_GPU,50666,25334,0.030965194886731526,0.05532785126367072,0.014171168208122253,0.003416792256757617,0.9818820357322693,0.004891837015748024
Amazon_employee_access,ModernNCA_GPU,21846,10923,0.0901092800439103,0.16648173260449714,0.023032881319522858,0.014675943180918694,0.9421404600143433,0.0025919380132108927
Bank_Customer_Churn,ModernNCA_GPU,6666,3334,0.20143264246670373,0.3306421646309846,0.025440923869609833,0.017042096704244614,0.8638272285461426,0.0011671248357743025
Bioresponse,ModernNCA_GPU,2500,1251,0.292778001598721,0.458366294365865,0.026193439960479736,0.042621903121471405,0.79536372423172,0.0007152159232646227
Diabetes130US,ModernNCA_GPU,47678,23840,0.1549809727643317,0.28280880028017036,0.016495779156684875,0.0034354913514107466,0.9119966626167297,0.004882068140432239
E-CommereShippingData,ModernNCA_GPU,7332,3667,0.3625351571216935,0.5131774513689225,0.04444009065628052,0.03428521379828453,0.6877556443214417,0.0012165559455752373
