dataset,model,cal_size,test_size,CDF-Spline_brier,CDF-Spline_logloss,CDF-Spline_kuiper,CDF-Spline_ece-15,CDF-Spline_accuracy,CDF-Spline_time
qsar-biodeg,RealTabPFN-v2.5,702,352,0.18497722970235567,,0.03783828020095825,0.04709585756063461,0.8835227489471436,0.005019080825150013
seismic-bumps,RealTabPFN-v2.5,1722,862,0.10787294033678413,,0.007286332547664642,0.008660800755023956,0.9338747262954712,0.010931493947282434
taiwanese_bankruptcy_prediction,RealTabPFN-v2.5,4546,2273,0.04326569027231447,,0.004237435758113861,0.00960585381835699,0.9709634780883789,0.02724006911739707
APSFailure,TabICL_GPU,50666,25334,0.008713992644967774,0.016321707914994567,0.0007185959257185459,0.0016043513314798474,0.9945132732391357,0.3001222771126777
Amazon_employee_access,TabICL_GPU,21846,10923,0.08089233750881428,0.15524072076869078,0.0026207473129034042,0.0061289784498512745,0.9481827616691589,0.1285849460400641
Bank_Customer_Churn,TabICL_GPU,6666,3334,0.19960405265457046,0.3267505058402086,0.006868017837405205,0.015338846482336521,0.8650270104408264,0.03977143811061978
Diabetes130US,TabICL_GPU,47678,23840,0.1560539589182998,0.2854145846512861,0.004071202129125595,0.0018452093936502934,0.9119966626167297,0.2805745331570506
E-CommereShippingData,TabICL_GPU,7332,3667,0.3564023392617088,,0.01598154753446579,0.0210432056337595,0.6880283355712891,0.042783652897924185
Fitness_Club,TabICL_GPU,1000,500,0.3135219245825531,0.47715641880954657,0.022378109395503998,0.062000811100006104,0.7839999794960022,0.006066586123779416
GiveMeSomeCredit,TabICL_GPU,100000,50000,0.09778998885989426,0.17619851093096772,0.0010030316188931465,0.002270424971356988,0.9374200105667114,0.5460498388856649
HR_Analytics_Job_Change_of_Data_Scientists,TabICL_GPU,12772,6386,0.2684399015341863,0.4232022164517914,0.007103811949491501,0.00934682134538889,0.8047291040420532,0.06803075294010341
Is-this-a-good-customer,TabICL_GPU,1148,575,0.1884494219209903,0.32165855693555256,0.017305027693510056,0.02425878494977951,0.8852173686027527,0.006919069914147258
Marketing_Campaign,TabICL_GPU,1493,747,0.14149735638965635,0.2248663958764847,0.014759665355086327,0.035402264446020126,0.8995984196662903,0.008635632926598191
NATICUSdroid,TabICL_GPU,4994,2497,0.0789574383267083,,0.0032504014670848846,0.010525099001824856,0.9467360973358154,0.027513262815773487
bank-marketing,TabICL_GPU,30140,15071,0.17217959633055652,0.29993793796035745,0.004017550498247147,0.008957559242844582,0.8931059837341309,0.1637409629765898
blood-transfusion-service-center,TabICL_GPU,498,250,0.3081856692808879,,0.044839516282081604,0.05924951657652855,0.8119999766349792,0.003552790032699704
churn,TabICL_GPU,3333,1667,0.06677746820949537,,0.0073924376629292965,0.013671709224581718,0.9598080515861511,0.018750308081507683
coil2000_insurance_policies,TabICL_GPU,6548,3274,0.10580061525491057,0.20348213059695086,0.0070900870487093925,0.0043282173573970795,0.9404398202896118,0.035605055978521705
