dataset,model,cal_size,test_size,Kernel_brier,Kernel_logloss,Kernel_kuiper,Kernel_ece-15,Kernel_accuracy,Kernel_time
in_vehicle_coupon_recommendation,TabM_GPU,8456,4228,0.300555020570755,0.4632503092288971,0.010896697640419006,0.021391451358795166,0.7824030518531799,1.4955200350377709
jm1,TabM_GPU,7256,3629,0.2722717225551605,0.4312346279621124,0.017664272338151932,0.01860709674656391,0.811793863773346,0.8936612389516085
kddcup09_appetency,TabM_GPU,33333,16667,0.03426686301827431,0.08120185881853104,0.008697016164660454,0.006879717111587524,0.9821803569793701,5.987266852054745
online_shoppers_intention,TabM_GPU,8220,4110,0.14309854805469513,0.23334647715091705,0.01753131113946438,0.020981427282094955,0.9014598727226257,1.546182953985408
polish_companies_bankruptcy,TabM_GPU,3940,1970,0.03988930210471153,0.07727348059415817,0.006031207274645567,0.010273643769323826,0.9756345152854919,0.3124229391105473
qsar-biodeg,TabM_GPU,702,352,0.183821901679039,0.3161514103412628,0.04563238099217415,0.054110053926706314,0.8892045617103577,0.009416174842044711
seismic-bumps,TabM_GPU,1722,862,0.1143689751625061,0.21241427958011627,0.024958351626992226,0.019006583839654922,0.9338747262954712,0.044777155155315995
taiwanese_bankruptcy_prediction,TabM_GPU,4546,2273,0.04506848379969597,0.08566416054964066,0.00937479455024004,0.012157664634287357,0.9714034199714661,0.36549166799522936
APSFailure,RealMLP_GPU,50666,25334,0.010979271493852139,0.021395286545157433,0.0018271924927830696,0.002426534192636609,0.9926580786705017,9.914885196834803
Amazon_employee_access,RealMLP_GPU,21846,10923,0.08084406703710556,0.15454250574111938,0.014943599700927734,0.01352686621248722,0.9493728876113892,4.364471538923681
Bank_Customer_Churn,RealMLP_GPU,6666,3334,0.19939889013767242,0.32707923650741577,0.023461636155843735,0.03150932490825653,0.8671265840530396,0.8092943250667304
Bioresponse,RealMLP_GPU,2500,1251,0.2773577570915222,0.4340045154094696,0.019474059343338013,0.03124460205435753,0.8017585873603821,0.12500085914507508
Diabetes130US,RealMLP_GPU,47678,23840,0.1561640053987503,0.28573933243751526,0.01911179907619953,0.021321766078472137,0.9119966626167297,9.14493547915481
E-CommereShippingData,RealMLP_GPU,7332,3667,0.3557313084602356,0.4991514980792999,0.011555079370737076,0.00957657303661108,0.6877556443214417,1.0222470730077475
Fitness_Club,RealMLP_GPU,1000,500,0.31860607862472534,0.4873388707637787,0.03413365036249161,0.05106890946626663,0.7739999890327454,0.015454714884981513
GiveMeSomeCredit,RealMLP_GPU,100000,50000,0.09828321635723114,0.18040353059768677,0.014463026076555252,0.013240509666502476,0.9380800127983093,19.434310148004442
HR_Analytics_Job_Change_of_Data_Scientists,RealMLP_GPU,12772,6386,0.271518349647522,0.42743849754333496,0.014050936326384544,0.008421305567026138,0.8015972375869751,2.8562751130666584
Is-this-a-good-customer,RealMLP_GPU,1148,575,0.18841275572776794,0.3232904076576233,0.03106095641851425,0.0320596843957901,0.8852173686027527,0.021186579018831253
Marketing_Campaign,RealMLP_GPU,1493,747,0.15034238994121552,0.24392418563365936,0.029842201620340347,0.0330054834485054,0.898259699344635,0.03316286182962358
NATICUSdroid,RealMLP_GPU,4994,2497,0.08446206152439117,0.14640183746814728,0.008174482733011246,0.017541704699397087,0.9415298104286194,0.742341497913003
bank-marketing,RealMLP_GPU,30140,15071,0.17342811822891235,0.30376553535461426,0.019155938178300858,0.02749238722026348,0.8943666815757751,5.985984943807125
blood-transfusion-service-center,RealMLP_GPU,498,250,0.3116036653518677,0.4901989698410034,0.05036342889070511,0.06855810433626175,0.7720000147819519,0.004702555947005749
churn,RealMLP_GPU,3333,1667,0.06217701733112335,0.12751799821853638,0.004669585730880499,0.008681110106408596,0.9610077738761902,0.21996085694991052
coil2000_insurance_policies,RealMLP_GPU,6548,3274,0.10678520053625107,0.20558154582977295,0.018302826210856438,0.014973171055316925,0.9404398202896118,0.7291547849308699
credit-g,RealMLP_GPU,666,334,0.31929007172584534,0.49001389741897583,0.02212604507803917,0.056500572711229324,0.7694610953330994,0.00734734395518899
credit_card_clients_default,RealMLP_GPU,20000,10000,0.26522573828697205,0.42392274737358093,0.015038937330245972,0.02067418023943901,0.8230999708175659,4.360517869936302
customer_satisfaction_in_airline,RealMLP_GPU,86586,43294,0.05370328575372696,0.08805723488330841,0.004981033504009247,0.006861499045044184,0.9623504281044006,34.42009703605436
diabetes,RealMLP_GPU,512,256,0.307180792093277,0.4685782790184021,0.034911442548036575,0.04717930406332016,0.78125,0.004458792973309755
hazelnut-spread-contaminant-detection,RealMLP_GPU,1600,800,0.08845186233520508,0.16252420842647552,0.019863922148942947,0.03347484767436981,0.9474999904632568,0.08813181798905134
heloc,RealMLP_GPU,6972,3487,0.3621411919593811,0.5418071150779724,0.009031031280755997,0.020537735894322395,0.734728991985321,0.8240655350964516
in_vehicle_coupon_recommendation,RealMLP_GPU,8456,4228,0.30368831753730774,0.466840922832489,0.013301300816237926,0.03041152097284794,0.7816934585571289,1.6007898561656475
jm1,RealMLP_GPU,7256,3629,0.2688896656036377,0.42559072375297546,0.02178463712334633,0.02217113971710205,0.812345027923584,0.9072016368154436
kddcup09_appetency,RealMLP_GPU,33333,16667,0.03446201980113983,0.08244160562753677,0.010295657441020012,0.008869954384863377,0.9821803569793701,5.840529724024236
online_shoppers_intention,RealMLP_GPU,8220,4110,0.14519964158535004,0.23712150752544403,0.016206156462430954,0.02608509175479412,0.899756669998169,1.4652142559643835
polish_companies_bankruptcy,RealMLP_GPU,3940,1970,0.04475398361682892,0.09212630242109299,0.012446239590644836,0.01297678705304861,0.972588837146759,0.29505539895035326
qsar-biodeg,RealMLP_GPU,702,352,0.1775149255990982,0.3109312653541565,0.040750738233327866,0.05984274297952652,0.8863636255264282,0.00898683094419539
seismic-bumps,RealMLP_GPU,1722,862,0.11284758150577545,0.2101554572582245,0.021996712312102318,0.019294101744890213,0.9338747262954712,0.04830599809065461
taiwanese_bankruptcy_prediction,RealMLP_GPU,4546,2273,0.044952113181352615,0.08262597024440765,0.010132170282304287,0.0105915991589427,0.967883825302124,0.364139546174556
APSFailure,BetaTabPFN_GPU,50666,25334,0.00954594835639,0.020556772127747536,0.0016148367431014776,0.0018536244751885533,0.9938817620277405,9.81879678601399
Amazon_employee_access,BetaTabPFN_GPU,21846,10923,0.0896785631775856,0.1706184595823288,0.01517575979232788,0.013426890596747398,0.9445207118988037,4.20886974199675
Bank_Customer_Churn,BetaTabPFN_GPU,6666,3334,0.19820977747440338,0.32642725110054016,0.022726822644472122,0.02958519570529461,0.8683263063430786,0.8783989150542766
Bioresponse,BetaTabPFN_GPU,2500,1251,0.3112196624279022,0.47570955753326416,0.030578017234802246,0.044124070554971695,0.7753797173500061,0.1015810570679605
Diabetes130US,BetaTabPFN_GPU,47678,23840,0.15826521813869476,0.29105064272880554,0.02081941068172455,0.024737365543842316,0.9119966626167297,9.12750588497147
E-CommereShippingData,BetaTabPFN_GPU,7332,3667,0.3537147641181946,0.4976741671562195,0.008172810077667236,0.004033644683659077,0.6883010864257812,1.2634550540242344
Fitness_Club,BetaTabPFN_GPU,1000,500,0.3157079219818115,0.48227459192276,0.03578605502843857,0.058466095477342606,0.7760000228881836,0.015252051874995232
GiveMeSomeCredit,BetaTabPFN_GPU,100000,50000,0.09842174500226974,0.1803666353225708,0.01524046529084444,0.013887021690607071,0.9377800226211548,19.140587414847687
HR_Analytics_Job_Change_of_Data_Scientists,BetaTabPFN_GPU,12772,6386,0.2721778452396393,0.42870065569877625,0.013634905219078064,0.013494344428181648,0.8041027188301086,2.864662504987791
Is-this-a-good-customer,BetaTabPFN_GPU,1148,575,0.19210252165794373,0.32912731170654297,0.04110625386238098,0.040332190692424774,0.8852173686027527,0.020231146132573485
Marketing_Campaign,BetaTabPFN_GPU,1493,747,0.14027997851371765,0.22807897627353668,0.03793715313076973,0.03895960748195648,0.9009370803833008,0.03440038510598242
NATICUSdroid,BetaTabPFN_GPU,4994,2497,0.0864703431725502,0.15124937891960144,0.009470148012042046,0.019397113472223282,0.9427312612533569,0.7367451910395175
bank-marketing,BetaTabPFN_GPU,30140,15071,0.17438802123069763,0.30507299304008484,0.01955641433596611,0.021249130368232727,0.8929732441902161,5.947023448999971
blood-transfusion-service-center,BetaTabPFN_GPU,498,250,0.3164272606372833,0.5001962780952454,0.05306263267993927,0.105806864798069,0.7639999985694885,0.004542309092357755
churn,BetaTabPFN_GPU,3333,1667,0.05775165185332298,0.12302234023809433,0.005922501906752586,0.012224014848470688,0.9628074169158936,0.24469659198075533
coil2000_insurance_policies,BetaTabPFN_GPU,6548,3274,0.10683156549930573,0.20670200884342194,0.01918603479862213,0.0150702940300107,0.9404398202896118,0.733220208901912
credit-g,BetaTabPFN_GPU,666,334,0.34163573384284973,0.5199044346809387,0.029800763353705406,0.0583685003221035,0.7514970302581787,0.007450099103152752
credit_card_clients_default,BetaTabPFN_GPU,20000,10000,0.26468294858932495,0.42251378297805786,0.013846425339579582,0.014953909441828728,0.8224999904632568,4.3772180480882525
customer_satisfaction_in_airline,BetaTabPFN_GPU,86586,43294,0.07108930498361588,0.11848364025354385,0.004768386483192444,0.007813583128154278,0.9491384625434875,34.82118625706062
diabetes,BetaTabPFN_GPU,512,256,0.3157333731651306,0.4791108965873718,0.034720279276371,0.06208246573805809,0.765625,0.004656829871237278
hazelnut-spread-contaminant-detection,BetaTabPFN_GPU,1600,800,0.12701517343521118,0.2254248410463333,0.02181728184223175,0.038254279643297195,0.9212499856948853,0.06729567493312061
heloc,BetaTabPFN_GPU,6972,3487,0.36375129222869873,0.543513834476471,0.011664055287837982,0.02009107545018196,0.7298537492752075,0.8282271090429276
in_vehicle_coupon_recommendation,BetaTabPFN_GPU,8456,4228,0.31971675157546997,0.4883553981781006,0.009555547498166561,0.020607972517609596,0.7682119011878967,1.3742097129579633
jm1,BetaTabPFN_GPU,7256,3629,0.2698405683040619,0.4274848997592926,0.01970566436648369,0.02467179112136364,0.8139983415603638,0.8946770448237658
kddcup09_appetency,BetaTabPFN_GPU,33333,16667,0.034794315695762634,0.0860830768942833,0.009511495009064674,0.006897020619362593,0.9821803569793701,5.835547958035022
online_shoppers_intention,BetaTabPFN_GPU,8220,4110,0.14323790371418,0.23376435041427612,0.018372932448983192,0.021292272955179214,0.899756669998169,1.5560505029279739
polish_companies_bankruptcy,BetaTabPFN_GPU,3940,1970,0.04602857306599617,0.09256451576948166,0.010843535885214806,0.013615491800010204,0.9751269221305847,0.3047764119692147
qsar-biodeg,BetaTabPFN_GPU,702,352,0.20078450441360474,0.3366053104400635,0.04892304167151451,0.06177578121423721,0.8721590638160706,0.008682952960953116
seismic-bumps,BetaTabPFN_GPU,1722,862,0.11496601998806,0.21508975327014923,0.027045048773288727,0.020131252706050873,0.9338747262954712,0.04373483592644334
taiwanese_bankruptcy_prediction,BetaTabPFN_GPU,4546,2273,0.04470440372824669,0.08521252870559692,0.011144157499074936,0.013112806715071201,0.9736031889915466,0.36510123405605555
APSFailure,ModernNCA_GPU,50666,25334,0.00945597980171442,0.018641045317053795,0.0024530980736017227,0.0028743131551891565,0.9939212203025818,9.895580881042406
Amazon_employee_access,ModernNCA_GPU,21846,10923,0.08182200789451599,0.1580086648464203,0.011611104011535645,0.009842796251177788,0.9489151239395142,5.144678685814142
Bank_Customer_Churn,ModernNCA_GPU,6666,3334,0.19998057186603546,0.32901889085769653,0.02277250587940216,0.0238492414355278,0.8680263757705688,0.8479059359524399
Bioresponse,ModernNCA_GPU,2500,1251,0.2863803505897522,0.4489380717277527,0.014142125844955444,0.02977839671075344,0.7977617979049683,0.1400109389796853
Diabetes130US,ModernNCA_GPU,47678,23840,0.15618370473384857,0.28594958782196045,0.014420585706830025,0.01752343960106373,0.9119966626167297,9.18955410295166
E-CommereShippingData,ModernNCA_GPU,7332,3667,0.3566492795944214,0.5007491707801819,0.009057000279426575,0.011264560744166374,0.6869375705718994,1.2186231308151037
Fitness_Club,ModernNCA_GPU,1000,500,0.3215388357639313,0.49134913086891174,0.028553232550621033,0.04788636788725853,0.7620000243186951,0.017081973142921925
GiveMeSomeCredit,ModernNCA_GPU,100000,50000,0.09800033271312714,0.17963212728500366,0.013355390168726444,0.012298226356506348,0.9380999803543091,19.579402902163565
HR_Analytics_Job_Change_of_Data_Scientists,ModernNCA_GPU,12772,6386,0.26890432834625244,0.42457523941993713,0.01332508772611618,0.010264375247061253,0.8067647814750671,2.8606805191375315
Is-this-a-good-customer,ModernNCA_GPU,1148,575,0.19179020822048187,0.33020952343940735,0.02892342023551464,0.02401094324886799,0.8852173686027527,0.021098490804433823
Marketing_Campaign,ModernNCA_GPU,1493,747,0.14290805160999298,0.2274889498949051,0.03915116935968399,0.042924877256155014,0.9022757411003113,0.03451156010851264
NATICUSdroid,ModernNCA_GPU,4994,2497,0.08670873194932938,0.1479828953742981,0.00635931733995676,0.011980446986854076,0.9407289028167725,0.7244509318843484
bank-marketing,ModernNCA_GPU,30140,15071,0.17341329157352448,0.3032793402671814,0.01792207732796669,0.0246304702013731,0.8939685225486755,5.949223286937922
blood-transfusion-service-center,ModernNCA_GPU,498,250,0.3260706067085266,0.5111528635025024,0.052753742784261703,0.09518058598041534,0.7720000147819519,0.004855419974774122
churn,ModernNCA_GPU,3333,1667,0.06215740367770195,0.126316636800766,0.004094357136636972,0.014961686916649342,0.9610077738761902,0.23401976516470313
coil2000_insurance_policies,ModernNCA_GPU,6548,3274,0.10701239854097366,0.206410750746727,0.01632789336144924,0.01394112128764391,0.9404398202896118,0.7248293510638177
