dataset,model,cal_size,test_size,ETS_brier,ETS_logloss,ETS_kuiper,ETS_ece-15,ETS_accuracy,ETS_time
blood-transfusion-service-center,Mitra_GPU,498,250,0.30606703013366454,0.487804782630711,0.04853567108511925,0.10658594220876694,0.800000011920929,0.011545059038326144
churn,Mitra_GPU,3333,1667,0.04158805423049145,0.09756931053155238,0.012147391214966774,0.013288302347064018,0.976604700088501,0.012625206960365176
coil2000_insurance_policies,Mitra_GPU,6548,3274,0.10610520047671429,0.20241651698192786,0.0048522185534238815,0.004873537924140692,0.9404398202896118,0.017757083987817168
credit-g,Mitra_GPU,666,334,0.33052475536667086,0.5043605671610056,0.04327588528394699,0.05879327282309532,0.757485032081604,0.004643680993467569
diabetes,Mitra_GPU,512,256,0.30873783811239297,0.4650643318654122,0.0202622190117836,0.056137822568416595,0.765625,0.011345543898642063
hazelnut-spread-contaminant-detection,Mitra_GPU,1600,800,0.08330937540382571,0.14349935994419538,0.010472465306520462,0.026962386444211006,0.9437500238418579,0.01354879210703075
heloc,Mitra_GPU,6972,3487,0.36230594352286555,0.5424009057059296,0.01876525580883026,0.01651042327284813,0.735589325428009,0.019613675074651837
in_vehicle_coupon_recommendation,Mitra_GPU,8456,4228,0.3213815434349074,0.4915098907803949,0.018142685294151306,0.03198396787047386,0.7703405618667603,0.016093295998871326
jm1,Mitra_GPU,7256,3629,0.26641596721560384,0.42285811168050724,0.007788617163896561,0.013549822382628918,0.8184072971343994,0.017801437992602587
online_shoppers_intention,Mitra_GPU,8220,4110,0.14038665986640517,0.22492001857124763,0.00497937947511673,0.014523564837872982,0.8995133638381958,0.015917523996904492
polish_companies_bankruptcy,Mitra_GPU,3940,1970,0.04085478693220771,0.07788250574228996,0.01034777145832777,0.019763724878430367,0.9746192693710327,0.010516430018469691
qsar-biodeg,Mitra_GPU,702,352,0.18598088295702772,0.3146146328112179,0.02569066733121872,0.05880343168973923,0.8778409361839294,0.004663003841415048
seismic-bumps,Mitra_GPU,1722,862,0.10858086146480397,0.20187585054831672,0.012806275859475136,0.014395445585250854,0.9338747262954712,0.005160637898370624
taiwanese_bankruptcy_prediction,Mitra_GPU,4546,2273,0.04324096358906299,0.07938942574187297,0.0032688509672880173,0.006410046014934778,0.9709634780883789,0.01303378283046186
APSFailure,TabDPT_GPU,50666,25334,0.011331935382650328,0.023265127311936484,0.0036507637705653906,0.005388758610934019,0.9921054840087891,0.10139669687487185
Amazon_employee_access,TabDPT_GPU,21846,10923,0.0813735097405795,0.15702574368201758,0.005720313638448715,0.007817418314516544,0.9485489130020142,0.046921420842409134
Bank_Customer_Churn,TabDPT_GPU,6666,3334,0.19979242067284184,0.32796972746342634,0.009530533105134964,0.016896525397896767,0.8668266534805298,0.017272608121857047
Bioresponse,TabDPT_GPU,2500,1251,0.28037921474202665,0.43706956104349,0.03229304030537605,0.041376810520887375,0.8009592294692993,0.010789796942844987
Diabetes130US,TabDPT_GPU,47678,23840,0.15578545717206665,0.2851021460029264,0.005158264189958572,0.005342954304069281,0.9120385646820068,0.07250174996443093
