dataset,model,cal_size,test_size,LightGBM_brier,LightGBM_logloss,LightGBM_kuiper,LightGBM_ece-15,LightGBM_accuracy,LightGBM_time
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,ExtraTrees,1440,160,0.5025191866684114,0.6962310747252707,0.0374143123626709,0.05274929851293564,0.5625,0.04961079312488437
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,LightGBM,1440,160,0.4908799547507227,0.6840473127245755,0.051019832491874695,0.0992286428809166,0.581250011920929,0.047606746200472116
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,LinearModel,1440,160,0.497778635953262,0.690917539840323,0.03836865723133087,0.01210117433220148,0.512499988079071,0.04170259414240718
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,NeuralNetFastAI,1440,160,0.3978896374143632,0.5685321453338004,0.05347271263599396,0.08508411049842834,0.643750011920929,0.05685211205855012
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,NeuralNetTorch,1440,160,0.4349579634603254,0.6235671127965075,0.046161700040102005,0.06537806242704391,0.643750011920929,0.058205367997288704
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,RandomForest,1440,160,0.49656063340188616,0.6897424286814816,0.043930113315582275,0.10086838901042938,0.574999988079071,0.044120472157374024
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,XGBoost,1440,160,0.5003267296162894,0.6936234295703525,0.0720602422952652,0.09818770736455917,0.5375000238418579,0.046788603998720646
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,CatBoost,1440,160,0.41249059234445384,0.5799327446779473,0.06635641306638718,0.12376362830400467,0.6499999761581421,0.0613977899774909
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,ExtraTrees,1440,160,0.4874636662223164,0.6836603985036677,0.04713812470436096,0.09958516061306,0.6187499761581421,0.05330091388896108
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,LightGBM,1440,160,0.4586366775195841,0.64919405905794,0.065775066614151,0.0862651914358139,0.6312500238418579,0.061834846856072545
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,LinearModel,1440,160,0.5015410390533533,0.6946567717853205,0.08525735139846802,0.04030655324459076,0.4749999940395355,0.04238253994844854
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,NeuralNetFastAI,1440,160,0.4392595612257583,0.6186532750281407,0.06816694140434265,0.12260165810585022,0.606249988079071,0.057049160124734044
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,NeuralNetTorch,1440,160,0.4496758585160122,0.6319252584015066,0.08228274434804916,0.14857500791549683,0.625,0.06379852397367358
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,RandomForest,1440,160,0.49349862597588956,0.690644650771949,0.0547122061252594,0.11949286609888077,0.6000000238418579,0.06568175181746483
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,XGBoost,1440,160,0.46453210760736924,0.6592075196212734,0.0539388433098793,0.08127761632204056,0.612500011920929,0.05983679601922631
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,CatBoost,1440,160,0.38048905448079895,0.5555219530563495,0.039787426590919495,0.08613427728414536,0.699999988079071,0.0634443920571357
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,ExtraTrees,1440,160,0.4091911811121808,0.597823355145542,0.03793764114379883,0.060488197952508926,0.699999988079071,0.05647377693094313
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,LightGBM,1440,160,0.3928161052392392,0.5802073641298163,0.03997519612312317,0.0603829026222229,0.699999988079071,0.06159559800289571
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,LinearModel,1440,160,0.4977278585643893,0.6908740161287923,0.05471453070640564,0.05444012209773064,0.5687500238418579,0.045171520905569196
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,NeuralNetFastAI,1440,160,0.38239669885140526,0.5644464058704888,0.041919589042663574,0.08124109357595444,0.6812499761581421,0.0600794181227684
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,NeuralNetTorch,1440,160,0.36698952221831865,0.5496039951658434,0.06575241684913635,0.07351158559322357,0.706250011920929,0.056090000085532665
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,RandomForest,1440,160,0.40616358704571287,0.5931896500905566,0.031567275524139404,0.07868146896362305,0.6937500238418579,0.05918202898465097
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,XGBoost,1440,160,0.40252950152889644,0.587717214786014,0.04371025413274765,0.0898175835609436,0.6812499761581421,0.06419662921689451
Internet-Advertisements,CatBoost,2951,328,0.043224636400568825,0.09186267257931185,0.0142325758934021,0.015419885516166687,0.9756097793579102,0.0993151490110904
Internet-Advertisements,ExtraTrees,2951,328,0.03005782250159795,0.07221158107944818,0.010018476285040379,0.014217394404113293,0.9817073345184326,0.09840807993896306
Internet-Advertisements,LightGBM,2951,328,0.043599610049541035,0.08450175427483125,0.01287020742893219,0.01367184054106474,0.9756097793579102,0.09934710897505283
Internet-Advertisements,LinearModel,2951,328,0.06343840062028319,0.13437608158868988,0.012682557106018066,0.0281965509057045,0.9603658318519592,0.09539614710956812
Internet-Advertisements,NeuralNetFastAI,2951,328,0.05441501737684098,0.11329796553568049,0.013533610850572586,0.025161240249872208,0.9664633870124817,0.09606459690257907
Internet-Advertisements,NeuralNetTorch,2951,328,0.04915948118985624,0.1039343500976655,0.015494213439524174,0.02133551612496376,0.9725610017776489,0.10290008783340454
Internet-Advertisements,RandomForest,2951,328,0.03912057404214207,0.07952749563900924,0.011453211307525635,0.017657531425356865,0.9786585569381714,0.09638386406004429
Internet-Advertisements,XGBoost,2951,328,0.05059448887086416,0.09800417106018212,0.011826902627944946,0.01671486161649227,0.9695122241973877,0.10465638618916273
OVA_Colon,CatBoost,1390,155,0.0741038859098585,0.1658552963946246,0.019541461020708084,0.035311535000801086,0.9612902998924255,0.06780280498787761
OVA_Colon,ExtraTrees,1390,155,0.06874178574696997,0.1468398458538098,0.018840491771697998,0.03370102494955063,0.9612902998924255,0.06717293802648783
OVA_Colon,LightGBM,1390,155,0.06064230502190977,0.12795376562244498,0.0133993960916996,0.02643459290266037,0.9677419066429138,0.06925451918505132
OVA_Colon,LinearModel,1390,155,0.06670435131109137,0.14952781027017428,0.01538483053445816,0.02615957520902157,0.9677419066429138,0.05941205704584718
OVA_Colon,NeuralNetFastAI,1390,155,0.08753012315859957,0.1960022436216525,0.026114769279956818,0.05523011088371277,0.9612902998924255,0.06991855101659894
OVA_Colon,NeuralNetTorch,1390,155,0.08930702301409928,0.1951182456750825,0.032154783606529236,0.06677602231502533,0.9290322661399841,0.06603365601040423
OVA_Colon,RandomForest,1390,155,0.08714053866970417,0.18877098303864842,0.018634140491485596,0.04448333755135536,0.948387086391449,0.06769793597050011
OVA_Colon,XGBoost,1390,155,0.07459839629325687,0.17047354786437702,0.019351664930582047,0.03234105557203293,0.9548386931419373,0.06851070513948798
OVA_Endometrium,CatBoost,1390,155,0.054850154266495005,0.10046005883865027,0.017976155504584312,0.026494426652789116,0.9677419066429138,0.05822972487658262
OVA_Endometrium,ExtraTrees,1390,155,0.059356734930914805,0.1169767135310462,0.01550767570734024,0.026527702808380127,0.9612902998924255,0.06092767999507487
OVA_Endometrium,LightGBM,1390,155,0.04759906514481537,0.09367070860788185,0.016777582466602325,0.02779841423034668,0.9612902998924255,0.05713773285970092
OVA_Endometrium,LinearModel,1390,155,0.038831593636468514,0.0686327575840234,0.015341673046350479,0.01916712522506714,0.9677419066429138,0.058187820948660374
OVA_Endometrium,NeuralNetFastAI,1390,155,0.04810814234151442,0.08296957186417708,0.014314493164420128,0.017696350812911987,0.9677419066429138,0.05819939495995641
OVA_Endometrium,NeuralNetTorch,1390,155,0.04483164606207824,0.09377814673046814,0.011257394216954708,0.0177531186491251,0.9741935729980469,0.057035763980820775
