dataset,model,cal_size,test_size,CDF-Spline_brier,CDF-Spline_logloss,CDF-Spline_kuiper,CDF-Spline_ece-15,CDF-Spline_accuracy,CDF-Spline_time
no2,LinearModel,450,50,0.48583093353025464,0.6786457506845278,0.14139607548713684,0.25524982810020447,0.47999998927116394,0.0030025620944797993
no2,NeuralNetFastAI,450,50,0.4369396000038817,0.6243661323512556,0.07706010341644287,0.16820694506168365,0.5799999833106995,0.002938504796475172
no2,NeuralNetTorch,450,50,0.43936840117311804,0.6298924107216048,0.0424337238073349,0.07259583473205566,0.6399999856948853,0.0029524050187319517
no2,RandomForest,450,50,0.41331558360120385,0.5969836860503861,0.04304620623588562,0.1112455353140831,0.6600000262260437,0.0029419020283967257
no2,XGBoost,450,50,0.4474193545098434,0.6361887805353231,0.04716162383556366,0.11215465515851974,0.6200000047683716,0.002951157046481967
nomao,CatBoost,31018,3447,0.03797138622342719,,0.0030522411689162254,0.007214375771582127,0.9756309986114502,0.14845768315717578
nomao,ExtraTrees,31018,3447,0.052934589610165714,,0.010191550478339195,0.015711525455117226,0.9669277667999268,0.14596884092316031
nomao,LightGBM,31018,3447,0.03791291055702876,,0.003342882264405489,0.006080931983888149,0.9762111902236938,0.1450063670054078
nomao,LinearModel,31018,3447,0.07319424482762213,0.12515390993545875,0.00412413477897644,0.007363662123680115,0.9503916501998901,0.14379840902984142
nomao,NeuralNetFastAI,31018,3447,0.05251947919530767,,0.004478519782423973,0.008815727196633816,0.967798113822937,0.14351428695954382
nomao,NeuralNetTorch,31018,3447,0.05209468834044939,,0.004079773090779781,0.011082896031439304,0.9654772281646729,0.14341034297831357
nomao,RandomForest,31018,3447,0.05024122356957514,,0.011474410071969032,0.01669449917972088,0.9706991314888,0.14442944899201393
nomao,XGBoost,31018,3447,0.03801007837035261,,0.0034674799535423517,0.005936106201261282,0.9753409028053284,0.14442068710923195
numerai28_6,CatBoost,86688,9632,0.4990913546350121,0.6922384595099171,0.007180169224739075,0.0029962006956338882,0.5160921812057495,0.40739376610144973
numerai28_6,ExtraTrees,86688,9632,0.4990358795354868,0.6921810331654962,0.005003824830055237,0.004356879275292158,0.5167151093482971,0.40992560307495296
numerai28_6,LightGBM,86688,9632,0.4991056516314653,0.6922500917009903,0.00812116265296936,0.0037367488257586956,0.5142233967781067,0.40813943510875106
numerai28_6,LinearModel,86688,9632,0.4990252122515729,0.6921715529986352,0.005341261625289917,0.0007893812144175172,0.5187915563583374,0.41022424097172916
