dataset,model,cal_size,test_size,Platt-probs_brier,Platt-probs_logloss,Platt-probs_kuiper,Platt-probs_ece-15,Platt-probs_accuracy,Platt-probs_time
credit-g,LightGBM,900,100,0.2840617269944861,0.4461128354433881,0.0431838184595108,0.0968591496348381,0.800000011920929,0.008731313981115818
credit-g,LinearModel,900,100,0.30393705290675466,0.47062133746086277,0.04432855546474457,0.11205070465803146,0.7900000214576721,0.009128154953941703
credit-g,NeuralNetFastAI,900,100,0.2946574153286353,0.45394150140765244,0.036090970039367676,0.1129826232790947,0.7799999713897705,0.01146874693222344
credit-g,NeuralNetTorch,900,100,0.2962449152620867,0.45817246967116687,0.05434414744377136,0.10424650460481644,0.75,0.010823955060914159
credit-g,RandomForest,900,100,0.2697280788948586,0.42479921907414153,0.05418454110622406,0.11523589491844177,0.800000011920929,0.008826358010992408
credit-g,XGBoost,900,100,0.2961951928760489,0.4539105763156108,0.040928080677986145,0.11862075328826904,0.7699999809265137,0.009151525096967816
cylinder-bands,CatBoost,486,54,0.1989426032068773,0.3271402473012116,0.05750390142202377,0.11265328526496887,0.8518518805503845,0.008338351035490632
cylinder-bands,ExtraTrees,486,54,0.17234207573573787,0.29336161196605975,0.04949668049812317,0.10877805948257446,0.8888888955116272,0.009992807870730758
cylinder-bands,LightGBM,486,54,0.18225878506072016,0.3058133559646213,0.04636785387992859,0.12741412222385406,0.8518518805503845,0.008252091938629746
cylinder-bands,LinearModel,486,54,0.2715793463236102,0.43672691322072044,0.04749724268913269,0.11819130182266235,0.8148148059844971,0.010379122104495764
cylinder-bands,NeuralNetFastAI,486,54,0.21594526357906646,0.36731819445812125,0.059934988617897034,0.13380612432956696,0.8703703880310059,0.008037955965846777
cylinder-bands,NeuralNetTorch,486,54,0.1830565440806317,0.32435263045742413,0.05349772796034813,0.10259727388620377,0.8888888955116272,0.008172216126695275
cylinder-bands,RandomForest,486,54,0.17064088637851965,0.28683223029831234,0.037642497569322586,0.10997364670038223,0.8888888955116272,0.008303384063765407
cylinder-bands,XGBoost,486,54,0.17041086790558013,0.2943956297309798,0.059389617294073105,0.12521807849407196,0.8703703880310059,0.007981647038832307
delta_ailerons,CatBoost,6416,713,0.09025014985336748,0.17962251563871753,0.010047966614365578,0.019043277949094772,0.9453015327453613,0.01821818295866251
delta_ailerons,ExtraTrees,6416,713,0.09343069462618925,0.18169912502240335,0.01482438761740923,0.02214597910642624,0.9453015327453613,0.01748297899030149
delta_ailerons,LightGBM,6416,713,0.09223509917340118,0.18032066538537095,0.011256346479058266,0.020531143993139267,0.9424964785575867,0.017954907845705748
delta_ailerons,LinearModel,6416,713,0.10854457100289408,0.2129724308857047,0.0120476596057415,0.019059734418988228,0.9368863701820374,0.017411332111805677
delta_ailerons,NeuralNetFastAI,6416,713,0.1005280281640281,0.19921956814580094,0.013891713693737984,0.02048337459564209,0.9438990354537964,0.0171028021723032
delta_ailerons,NeuralNetTorch,6416,713,0.10038101596481377,0.19775325400400787,0.014747092500329018,0.023400599136948586,0.9438990354537964,0.01819418021477759
delta_ailerons,RandomForest,6416,713,0.0936768165773386,0.18231793892030818,0.015176231972873211,0.022321753203868866,0.9438990354537964,0.017111044144257903
delta_ailerons,XGBoost,6416,713,0.09159237633464537,0.18077816587231646,0.011420725844800472,0.02563260868191719,0.946704089641571,0.01775759505107999
delta_elevators,CatBoost,8565,952,0.17976246397749782,0.3047685192860881,0.019634950906038284,0.044495947659015656,0.8855041861534119,0.02346125105395913
delta_elevators,ExtraTrees,8565,952,0.18161796546540893,0.30469793807731976,0.01918703317642212,0.0343715101480484,0.8802521228790283,0.021353844087570906
delta_elevators,LightGBM,8565,952,0.17798546674327112,0.3024605722319644,0.02274690940976143,0.042831677943468094,0.8897058963775635,0.023598841158673167
delta_elevators,LinearModel,8565,952,0.18123017640876557,0.30941572805374,0.017339052632451057,0.03940661624073982,0.881302535533905,0.022712309146299958
delta_elevators,NeuralNetFastAI,8565,952,0.18058493835915035,0.3049261108127266,0.01719215326011181,0.030355503782629967,0.8781512379646301,0.02026789588853717
delta_elevators,NeuralNetTorch,8565,952,0.1787297134891582,0.30267189314469767,0.01782047562301159,0.04016338288784027,0.8823529481887817,0.02298074890859425
delta_elevators,RandomForest,8565,952,0.18663584134658875,0.3113981788492652,0.02353746071457863,0.0354471430182457,0.8739495873451233,0.02053433400578797
delta_elevators,XGBoost,8565,952,0.18015643966820435,0.3046927771626158,0.01872006617486477,0.03866288810968399,0.8823529481887817,0.021543243899941444
diabetes,CatBoost,691,77,0.24863816966453461,0.3971201191170339,0.046233441680669785,0.13937784731388092,0.8311688303947449,0.008803458884358406
diabetes,ExtraTrees,691,77,0.23231550500492723,0.3769632692699815,0.05137951672077179,0.08721034973859787,0.8571428656578064,0.008198307128623128
diabetes,LightGBM,691,77,0.24448044440627603,0.3926406268907586,0.036608852446079254,0.08324205875396729,0.8311688303947449,0.008531545987352729
diabetes,LinearModel,691,77,0.22549824582197578,0.3716084596815274,0.05882791429758072,0.17383238673210144,0.8311688303947449,0.008891087025403976
diabetes,NeuralNetFastAI,691,77,0.24188837387883116,0.38794441490567066,0.059051912277936935,0.13385941088199615,0.8181818127632141,0.011039654957130551
diabetes,NeuralNetTorch,691,77,0.24875944394808958,0.39083475120646993,0.05096138268709183,0.1631557047367096,0.8181818127632141,0.008682970888912678
diabetes,RandomForest,691,77,0.2406248375678328,0.3889655554104814,0.04408396780490875,0.11583076417446136,0.8311688303947449,0.008945582900196314
diabetes,XGBoost,691,77,0.26082737640718345,0.41367961433487,0.044556815177202225,0.15437297523021698,0.8181818127632141,0.008930512005463243
dresses-sales,CatBoost,450,50,0.4779930433144572,0.671061383006886,0.07122741639614105,0.05604957044124603,0.6000000238418579,0.007769138086587191
dresses-sales,ExtraTrees,450,50,0.5082636450769276,0.7031123965546735,0.10612961649894714,0.1452208310365677,0.5799999833106995,0.007857972988858819
dresses-sales,LightGBM,450,50,0.49296697772847126,0.6887173522750056,0.08091330528259277,0.16724689304828644,0.5799999833106995,0.008554503088817
dresses-sales,LinearModel,450,50,0.47731873368240857,0.6722719177585791,0.08568070828914642,0.1462361216545105,0.6600000262260437,0.008245662786066532
dresses-sales,NeuralNetFastAI,450,50,0.48314976938554144,0.6818449436247457,0.08379312604665756,0.1864546239376068,0.6600000262260437,0.008584062801674008
dresses-sales,NeuralNetTorch,450,50,0.47910415583912913,0.6751189666143154,0.07730168104171753,0.13938193023204803,0.6399999856948853,0.008556989952921867
dresses-sales,RandomForest,450,50,0.51136679825494,0.7068718764902002,0.0897265076637268,0.15394724905490875,0.5799999833106995,0.008257582085207105
dresses-sales,XGBoost,450,50,0.49803627722863486,0.6944546751458376,0.0669071301817894,0.08986756950616837,0.6000000238418579,0.009905228158459067
eeg-eye-state,CatBoost,13482,1498,0.06499137680907331,0.12361450763805146,0.014228115789592266,0.013224577531218529,0.9599465727806091,0.04198020603507757
eeg-eye-state,ExtraTrees,13482,1498,0.0811603002593537,0.13519133722490068,0.011009925976395607,0.013645767234265804,0.9405874609947205,0.03153266594745219
eeg-eye-state,LightGBM,13482,1498,0.0719816105996536,0.13833603257687094,0.016980983316898346,0.013007651083171368,0.9559412598609924,0.026404703967273235
eeg-eye-state,LinearModel,13482,1498,0.44781902037392957,0.6385340988535352,0.01974012702703476,0.04698288068175316,0.6301735639572144,0.03235623985528946
eeg-eye-state,NeuralNetFastAI,13482,1498,0.24659707556012658,0.3939188542570492,0.044255200773477554,0.07681269198656082,0.8197596669197083,0.030216220999136567
eeg-eye-state,NeuralNetTorch,13482,1498,0.027982578527866297,0.05786925462654438,0.005594016518443823,0.00765461940318346,0.9819759726524353,0.02976384898647666
eeg-eye-state,RandomForest,13482,1498,0.09483661578681475,0.16049681316339998,0.010708324611186981,0.02047685533761978,0.936582088470459,0.031709199072793126
eeg-eye-state,XGBoost,13482,1498,0.07595843071997893,0.1438278129372355,0.01717010885477066,0.012540067546069622,0.9546061158180237,0.02659055986441672
electricity,CatBoost,40780,4532,0.08369291889845873,0.15566340109894164,0.009799538180232048,0.018208106979727745,0.947043240070343,0.0708730099722743
electricity,ExtraTrees,40780,4532,0.13798251458889532,0.23003332361703427,0.009251736104488373,0.022176722064614296,0.906222403049469,0.07635831600055099
electricity,LightGBM,40780,4532,0.08331334014296365,0.15479519125847332,0.009315663948655128,0.019577963277697563,0.9485878348350525,0.07426966982893646
electricity,LinearModel,40780,4532,0.33006783052551525,0.49915642009288597,0.010438289493322372,0.02364213392138481,0.7570608854293823,0.08125588810071349
electricity,NeuralNetFastAI,40780,4532,0.2224613587747317,0.3569226215335508,0.011858060956001282,0.03493761643767357,0.8435569405555725,0.08279218291863799
electricity,NeuralNetTorch,40780,4532,0.18619721983956383,0.3086006899012188,0.013621347025036812,0.035887788981199265,0.8722418546676636,0.09832105180248618
electricity,RandomForest,40780,4532,0.10617590928144517,0.1836363901073412,0.007236136123538017,0.015418673865497112,0.9300529360771179,0.08034972613677382
electricity,XGBoost,40780,4532,0.08195755686714233,0.1532797936238748,0.009457376785576344,0.017183488234877586,0.9490291476249695,0.0737149529159069
fri_c0_1000_5,CatBoost,900,100,0.12439623785147658,0.20510744493681649,0.06321971863508224,0.1099136620759964,0.9100000262260437,0.011371714994311333
fri_c0_1000_5,ExtraTrees,900,100,0.14474795846076172,0.22496340836165798,0.056522220373153687,0.08269217610359192,0.8799999952316284,0.008943344932049513
fri_c0_1000_5,LightGBM,900,100,0.11877952294364327,0.19225031560911407,0.040112994611263275,0.08708050847053528,0.8999999761581421,0.00890656909905374
fri_c0_1000_5,LinearModel,900,100,0.19959465744240593,0.34162544173102966,0.057492394000291824,0.0945417582988739,0.8899999856948853,0.009227631147950888
fri_c0_1000_5,NeuralNetFastAI,900,100,0.10449795001665327,0.17576184444746665,0.044406190514564514,0.09773683547973633,0.9399999976158142,0.010259315138682723
fri_c0_1000_5,NeuralNetTorch,900,100,0.10268228820760004,0.16249657437980106,0.030811857432127,0.09574055671691895,0.9100000262260437,0.008770040003582835
fri_c0_1000_5,RandomForest,900,100,0.12490286864079973,0.21725914450700629,0.05060127004981041,0.07941307127475739,0.9300000071525574,0.009384701028466225
fri_c0_1000_5,XGBoost,900,100,0.14690674905735848,0.2391308599894222,0.04085857793688774,0.1082194596529007,0.8799999952316284,0.010217434028163552
fri_c0_500_5,CatBoost,450,50,0.21469745863190123,0.3386850906293455,0.08065234124660492,0.14847485721111298,0.8399999737739563,0.011239869054406881
fri_c0_500_5,ExtraTrees,450,50,0.256830344929744,0.3925025792027844,0.09540082514286041,0.15149050951004028,0.800000011920929,0.008345117093995214
fri_c0_500_5,LightGBM,450,50,0.2108686777258684,0.34461403542309876,0.08833204209804535,0.1367276906967163,0.8799999952316284,0.007960350019857287
fri_c0_500_5,LinearModel,450,50,0.28994130503502813,0.44389675834105247,0.042375996708869934,0.09808064997196198,0.7799999713897705,0.008236862951889634
fri_c0_500_5,NeuralNetFastAI,450,50,0.22986546154668056,0.3484987622797271,0.09497535228729248,0.13336625695228577,0.8399999737739563,0.01004541595466435
fri_c0_500_5,NeuralNetTorch,450,50,0.21835278017648194,0.333636605270032,0.08401894569396973,0.12334121763706207,0.8600000143051147,0.009574443800374866
fri_c0_500_5,RandomForest,450,50,0.27421381166457504,0.40854123106162954,0.09252727776765823,0.1529548019170761,0.7799999713897705,0.007976629072800279
fri_c0_500_5,XGBoost,450,50,0.24077195740371804,0.3797414182635451,0.08838722109794617,0.14025475084781647,0.800000011920929,0.009374828077852726
fri_c1_1000_50,CatBoost,900,100,0.12285825712005692,0.20888312212588672,0.01866459660232067,0.07417729496955872,0.9100000262260437,0.014344459865242243
fri_c1_1000_50,ExtraTrees,900,100,0.11539841345044502,0.19759555088649405,0.024648021906614304,0.06771718710660934,0.9200000166893005,0.008995219133794308
fri_c1_1000_50,LightGBM,900,100,0.15165169137580198,0.24125883897301495,0.03678498789668083,0.10153907537460327,0.8799999952316284,0.009064577985554934
fri_c1_1000_50,LinearModel,900,100,0.4120440332721026,0.5994054937572567,0.045689575374126434,0.10514028370380402,0.6700000166893005,0.009855859912931919
fri_c1_1000_50,NeuralNetFastAI,900,100,0.1402728151258669,0.2515943587837387,0.04339053854346275,0.0760679766535759,0.8999999761581421,0.009037822019308805
fri_c1_1000_50,NeuralNetTorch,900,100,0.23161292646267134,0.36946339639953735,0.05188887566328049,0.0993356704711914,0.8500000238418579,0.00833080685697496
fri_c1_1000_50,RandomForest,900,100,0.15615001114981208,0.2634683259732868,0.0289872195571661,0.0711791142821312,0.8999999761581421,0.008553353138267994
fri_c1_1000_50,XGBoost,900,100,0.1316767938293535,0.2122629868032729,0.034334298223257065,0.09073346853256226,0.8999999761581421,0.008107193978503346
fri_c2_1000_25,CatBoost,900,100,0.1283018422252079,0.22171711493984728,0.031846784055233,0.06572314351797104,0.9200000166893005,0.008250467013567686
fri_c2_1000_25,ExtraTrees,900,100,0.14931740072537142,0.25197475046577483,0.030699491500854492,0.06748830527067184,0.8799999952316284,0.009176247986033559
fri_c2_1000_25,LightGBM,900,100,0.15318147052888795,0.2558734868284365,0.03488360717892647,0.05450069159269333,0.8899999856948853,0.008449180983006954
fri_c2_1000_25,LinearModel,900,100,0.35960202970437066,0.5366957884916084,0.05324932932853699,0.11170107871294022,0.7099999785423279,0.008365601999685168
fri_c2_1000_25,NeuralNetFastAI,900,100,0.130908518239915,0.22917207033786852,0.032483670860528946,0.08195171505212784,0.9200000166893005,0.008668581023812294
fri_c2_1000_25,NeuralNetTorch,900,100,0.13011464434432057,0.22813016369342975,0.021148651838302612,0.05353690683841705,0.9100000262260437,0.008179341908544302
fri_c2_1000_25,RandomForest,900,100,0.15563053254151163,0.26698070895525644,0.0399896465241909,0.056456856429576874,0.8899999856948853,0.008807413978502154
fri_c2_1000_25,XGBoost,900,100,0.1529947803883187,0.25693530093586825,0.04063861817121506,0.07100307196378708,0.8899999856948853,0.010753395967185497
