dataset,model,cal_size,test_size,Venn-Abers_brier,Venn-Abers_logloss,Venn-Abers_kuiper,Venn-Abers_ece-15,Venn-Abers_accuracy,Venn-Abers_time
gina,RandomForest,2837,316,0.0923135863816254,0.16004653460795643,0.012197728268802166,0.02206161618232727,0.9398733973503113,0.026972891995683312
gina,XGBoost,2837,316,0.06712216415006601,0.12032652519117067,0.008449023589491844,0.01809430867433548,0.9588607549667358,0.05739004095084965
hill-valley,CatBoost,1090,122,0.48942529074602986,0.6823981115893969,0.07485245168209076,0.03544711321592331,0.5491803288459778,0.005374806001782417
hill-valley,ExtraTrees,1090,122,0.4618275911392265,0.6538858182858387,0.07829394191503525,0.06003700569272041,0.6147540807723999,0.005153079982846975
hill-valley,LightGBM,1090,122,0.4560945276579917,0.6476491676824007,0.04426230490207672,0.04907028749585152,0.5983606576919556,0.006388220936059952
hill-valley,LinearModel,1090,122,0.1406268750189909,0.2395235212096212,0.048358723521232605,0.0726340264081955,0.8934426307678223,0.011767550837248564
hill-valley,NeuralNetFastAI,1090,122,0.2081234757033883,0.34568352904935373,0.11725763231515884,0.2041662335395813,0.8852459192276001,0.011164763942360878
hill-valley,NeuralNetTorch,1090,122,0.13699677291037102,0.22993083696441222,0.055052489042282104,0.06510037928819656,0.9098360538482666,0.015246677910909057
hill-valley,RandomForest,1090,122,0.4674071752122673,0.6598377215768213,0.03872603923082352,0.05859528109431267,0.6065573692321777,0.005033209919929504
hill-valley,XGBoost,1090,122,0.47467642792428444,0.667047383131847,0.04991229251027107,0.03118468075990677,0.5819672346115112,0.004985755076631904
hiva_agnostic,CatBoost,3806,423,0.06416456429582339,0.13586300491415518,0.013840645551681519,0.01921582594513893,0.9669030904769897,0.04502644785679877
hiva_agnostic,ExtraTrees,3806,423,0.06802232658197568,0.14216744952175395,0.015494421124458313,0.019215689972043037,0.9598108530044556,0.040347822941839695
hiva_agnostic,LightGBM,3806,423,0.0669730373082387,0.1410642641433065,0.01565484330058098,0.016593169420957565,0.9645389914512634,0.04830716014839709
hiva_agnostic,LinearModel,3806,423,0.06050514508975805,0.1331881632093681,0.016704488545656204,0.006509359460324049,0.9645389914512634,0.02235306682996452
hiva_agnostic,NeuralNetFastAI,3806,423,0.06315631066707827,0.1379399882880364,0.010034127160906792,0.006969709414988756,0.9669030904769897,0.03192966291680932
hiva_agnostic,NeuralNetTorch,3806,423,0.06318369615096318,0.14382740065017544,0.018844395875930786,0.01590549759566784,0.9669030904769897,0.040397174190729856
hiva_agnostic,RandomForest,3806,423,0.06988386220009775,0.14367834418333675,0.01772017776966095,0.016858896240592003,0.9598108530044556,0.04334342712536454
hiva_agnostic,XGBoost,3806,423,0.06220337035050166,0.13511029254379237,0.014506228268146515,0.018993571400642395,0.9692671298980713,0.04953184584155679
houses,CatBoost,18576,2064,0.017264597874709887,0.031102953740369556,0.004875596612691879,0.007457492873072624,0.9893410801887512,1.0613642449025065
houses,ExtraTrees,18576,2064,0.015716706772130353,0.028668960476720892,0.004650518298149109,0.007487991824746132,0.9903100728988647,0.01456009317189455
houses,LightGBM,18576,2064,0.018690316994633856,0.03360091297875194,0.006147987209260464,0.008311624638736248,0.9864341020584106,0.9808106350246817
houses,LinearModel,18576,2064,0.04386673997172288,0.07401420788960833,0.005329499952495098,0.007682680152356625,0.9689922332763672,0.7510067818220705
houses,NeuralNetFastAI,18576,2064,0.01869006394142482,0.03315140108993767,0.006212462671101093,0.009855824522674084,0.9864341020584106,0.7308446280658245
houses,NeuralNetTorch,18576,2064,0.01933228407154885,0.0339366738086985,0.005555721465498209,0.009686639532446861,0.9864341020584106,0.4972536589484662
houses,RandomForest,18576,2064,0.019248122649574255,0.03408525571378375,0.0045654065907001495,0.007709143683314323,0.9874030947685242,0.0972334670368582
houses,XGBoost,18576,2064,0.01896513748547972,0.0336548614058267,0.005433635786175728,0.008993303403258324,0.9869186282157898,0.8505660279188305
ilpd,CatBoost,524,59,0.35875636548469386,0.5249431744870637,0.04723791778087616,0.08553647249937057,0.7118644118309021,0.0066303040366619825
ilpd,ExtraTrees,524,59,0.3550026346503922,0.5139463878142856,0.045217931270599365,0.09361515194177628,0.7288135886192322,0.006972221890464425
ilpd,LightGBM,524,59,0.3564211940074531,0.5224790123260018,0.06886979937553406,0.12172231078147888,0.7288135886192322,0.0070895429234951735
ilpd,LinearModel,524,59,0.3963475194520216,0.5585316806247453,0.09424132108688354,0.14893275499343872,0.6440678238868713,0.006020365981385112
ilpd,NeuralNetFastAI,524,59,0.36528384045127094,0.5176640277574915,0.08386246860027313,0.12757335603237152,0.6440678238868713,0.007173008052632213
ilpd,NeuralNetTorch,524,59,0.37200070255028567,0.5397770596724043,0.06333205103874207,0.1435561329126358,0.6440678238868713,0.005448480835184455
ilpd,RandomForest,524,59,0.3679868139166965,0.5348158290574847,0.07419253140687943,0.08297361433506012,0.7118644118309021,0.006324047921225429
ilpd,XGBoost,524,59,0.36864753171191506,0.526054923723745,0.08312875777482986,0.07813131809234619,0.694915235042572,0.007184043060988188
jasmine,CatBoost,2685,299,0.2659535994700098,0.4062675987556809,0.0336633026599884,0.05657138675451279,0.8060200810432434,0.03365714312531054
jasmine,ExtraTrees,2685,299,0.2734917433054583,0.41376715080077986,0.02584439516067505,0.048242926597595215,0.8193979859352112,0.01027952297590673
jasmine,LightGBM,2685,299,0.26472244759780933,0.4054635152714098,0.030460715293884277,0.04813925549387932,0.8193979859352112,0.036526660900563
jasmine,LinearModel,2685,299,0.28707483304571285,0.4379478753435131,0.02580323815345764,0.04621492326259613,0.7993311285972595,0.03135921387001872
jasmine,NeuralNetFastAI,2685,299,0.28261777971566066,0.4310381234585016,0.026584837585687637,0.05291009694337845,0.8060200810432434,0.027041914174333215
jasmine,NeuralNetTorch,2685,299,0.2841040815382077,0.43111362886186977,0.032787248492240906,0.05730493366718292,0.7993311285972595,0.02725206408649683
jasmine,RandomForest,2685,299,0.26432617334714587,0.40088108922311183,0.03532472252845764,0.0756034255027771,0.8026756048202515,0.012457717908546329
jasmine,XGBoost,2685,299,0.25711538877489776,0.3984504503612282,0.021722761914134026,0.04165051132440567,0.829431414604187,0.02940003713592887
jm1,CatBoost,9796,1089,0.26594542893782214,0.4193735703568016,0.01937420293688774,0.025004927068948746,0.8163452744483948,0.049665417056530714
jm1,ExtraTrees,9796,1089,0.26559597241446276,0.41794725029672275,0.016673080623149872,0.030335182324051857,0.8172635436058044,0.05775578483007848
jm1,LightGBM,9796,1089,0.2636740939985333,0.41807262777117676,0.01474461704492569,0.020758766680955887,0.8273645639419556,0.05209633708000183
jm1,LinearModel,9796,1089,0.28109261203333313,0.44325437272017776,0.020800253376364708,0.024728307500481606,0.8163452744483948,0.04733704891987145
jm1,NeuralNetFastAI,9796,1089,0.2719591808215347,0.4328200496387876,0.018754951655864716,0.03416779637336731,0.8227731585502625,0.04758630716241896
jm1,NeuralNetTorch,9796,1089,0.27631318176568875,0.4359332903851781,0.023286307230591774,0.032402295619249344,0.8145087361335754,0.05220517492853105
jm1,RandomForest,9796,1089,0.2627301520730383,0.4146555389315144,0.017010781913995743,0.022825583815574646,0.8218548893928528,0.057618021965026855
jm1,XGBoost,9796,1089,0.2648417131847896,0.41909912548631384,0.010313600301742554,0.02540713921189308,0.8191000819206238,0.05509899416938424
kc1,CatBoost,1898,211,0.18856549032416933,0.31807706118412055,0.03094632923603058,0.0688079297542572,0.8720378875732422,0.011752658989280462
kc1,ExtraTrees,1898,211,0.18873916418210543,0.31250297540267336,0.029147639870643616,0.03155983239412308,0.8767772316932678,0.008591706864535809
kc1,LightGBM,1898,211,0.18886319616337405,0.31501706256309786,0.021490730345249176,0.0341280922293663,0.8815165758132935,0.011990355094894767
kc1,LinearModel,1898,211,0.214162738736133,0.3457700948412138,0.0304192453622818,0.035593386739492416,0.8625592589378357,0.010910063050687313
