dataset,model,cal_size,test_size,Beta_brier,Beta_logloss,Beta_kuiper,Beta_ece-15,Beta_accuracy,Beta_time
pm10,NeuralNetFastAI,450,50,0.4994563094278546,0.6921867102079833,0.060784049332141876,0.05665973946452141,0.5,0.003218945814296603
pm10,NeuralNetTorch,450,50,0.4951030116630894,0.6871575726681547,0.07552841305732727,0.12984728813171387,0.5,0.0031169361900538206
pm10,RandomForest,450,50,0.4346850422574468,0.6289836366438462,0.08684265613555908,0.16468410193920135,0.7200000286102295,0.00306319585070014
pm10,XGBoost,450,50,0.44884076685452007,0.6418666188455106,0.0893317386507988,0.1648525893688202,0.699999988079071,0.003194791032001376
pollen,CatBoost,3463,385,0.4997867510717153,0.6929325867972472,0.03533385694026947,0.005982938688248396,0.4987013041973114,0.003525499952957034
pollen,ExtraTrees,3463,385,0.5000963975992256,0.6932435792606026,0.029611736536026,0.001498752273619175,0.5090909004211426,0.005707666976377368
pollen,LightGBM,3463,385,0.5010540271357926,0.6942063864233391,0.03463423252105713,0.007261595688760281,0.5402597188949585,0.0034418751019984484
pollen,LinearModel,3463,385,0.4997299708852044,0.6928770913892432,0.02934741973876953,0.0017166974721476436,0.4961038827896118,0.006272763945162296
pollen,NeuralNetFastAI,3463,385,0.49963881400114357,0.6927925049503733,0.03818832337856293,0.007256277371197939,0.5402597188949585,0.0034140748903155327
pollen,NeuralNetTorch,3463,385,0.4998972346440127,0.6930448229893778,0.017967619001865387,0.004604226443916559,0.5064935088157654,0.0034889369271695614
pollen,RandomForest,3463,385,0.499747003889397,0.692894132582968,0.032462090253829956,0.0014460518723353744,0.4987013041973114,0.00889050797559321
pollen,XGBoost,3463,385,0.5008197454453677,0.6939671406191916,0.02912052348256111,0.0038169282488524914,0.4909090995788574,0.003706841031089425
puma32H,CatBoost,7372,820,0.13144388902142345,0.21119265716960353,0.013615936040878296,0.02582637406885624,0.9060975313186646,0.007620557909831405
puma32H,ExtraTrees,7372,820,0.14243532106581924,0.22245672587110277,0.011181699112057686,0.02991451323032379,0.8963414430618286,0.006281036185100675
puma32H,LightGBM,7372,820,0.1433046124835947,0.22663739967598603,0.00982833281159401,0.030157560482621193,0.8902438879013062,0.0079225511290133
puma32H,LinearModel,7372,820,0.46788045058224037,0.6610008366038772,0.0292673259973526,0.0546286515891552,0.6378048658370972,0.005127063952386379
puma32H,NeuralNetFastAI,7372,820,0.1055125768936297,0.17397060531982314,0.011436589062213898,0.024394458159804344,0.9268292784690857,0.007410616846755147
puma32H,NeuralNetTorch,7372,820,0.10799635841760995,0.18034070729852214,0.01338689774274826,0.022726228460669518,0.9243902564048767,0.008102333871647716
puma32H,RandomForest,7372,820,0.15007621484914987,0.2373458263708632,0.012445183470845222,0.03594009578227997,0.8890243768692017,0.005798163125291467
