dataset,model,cal_size,test_size,Quadratic_brier,Quadratic_logloss,Quadratic_kuiper,Quadratic_ece-15,Quadratic_accuracy,Quadratic_time
no2,ExtraTrees,450,50,0.43225046928552013,0.618999547670086,0.0820252001285553,0.20363889634609222,0.6399999856948853,0.0032866359688341618
no2,LightGBM,450,50,0.4282003164257235,0.6152997952602027,0.05088040232658386,0.10905282199382782,0.6399999856948853,0.0026117200031876564
no2,LinearModel,450,50,0.47339433316564167,0.6657492436781332,0.1273983120918274,0.13607509434223175,0.5400000214576721,0.002235395833849907
no2,NeuralNetFastAI,450,50,0.4313581873791985,0.6195912974909432,0.07095256447792053,0.15766555070877075,0.6399999856948853,0.0028461359906941652
no2,NeuralNetTorch,450,50,0.4452584616766911,0.6366996362069554,0.054421596229076385,0.11016738414764404,0.6399999856948853,0.002545987954363227
no2,RandomForest,450,50,0.4269378798685139,0.6122440901881956,0.0659528523683548,0.16304592788219452,0.5600000023841858,0.0034998981282114983
no2,XGBoost,450,50,0.42682740464296004,0.613298980175763,0.052555885165929794,0.11252257227897644,0.6200000047683716,0.002451356966048479
nomao,CatBoost,31018,3447,0.0378418854202613,0.06712908336028203,0.002013016026467085,0.006036313250660896,0.9744705557823181,0.0349160039331764
nomao,ExtraTrees,31018,3447,0.05101250252269329,0.11621906544236613,0.006783262826502323,0.012636045925319195,0.9675079584121704,0.08872043387964368
nomao,LightGBM,31018,3447,0.03783240932909219,0.06735973866624802,0.0025644355919212103,0.005390258971601725,0.9756309986114502,0.03410995798185468
nomao,LinearModel,31018,3447,0.07316899615909085,0.12510993117308541,0.004211624152958393,0.007270326837897301,0.9503916501998901,0.036488886922597885
nomao,NeuralNetFastAI,31018,3447,0.05267710426003231,0.09230519518693414,0.0048012989573180676,0.008800968527793884,0.9675079584121704,0.032078295946121216
nomao,NeuralNetTorch,31018,3447,0.05211444150966082,0.0922443021902597,0.0043029808439314365,0.010851942002773285,0.965187132358551,0.026834123069420457
nomao,RandomForest,31018,3447,0.04858853346691318,0.13725445751426776,0.009024151600897312,0.014500384218990803,0.9706991314888,0.07710419688373804
nomao,XGBoost,31018,3447,0.03796538432508219,0.06740753495590462,0.003700490575283766,0.006428789347410202,0.9753409028053284,0.03009604406543076
numerai28_6,CatBoost,86688,9632,0.49910373584017315,0.6922504972055119,0.007887810468673706,0.002893845085054636,0.5152616500854492,0.033766224049031734
numerai28_6,ExtraTrees,86688,9632,0.4990267805395328,0.6921718694420346,0.004982396960258484,0.005096473265439272,0.5155730843544006,0.03377115703187883
numerai28_6,LightGBM,86688,9632,0.49907453613269637,0.6922189405256873,0.008038118481636047,0.0027576913125813007,0.5131852030754089,0.03527595102787018
numerai28_6,LinearModel,86688,9632,0.49908289541566514,0.6922291974353961,0.0054535409435629845,0.001097259926609695,0.5192068219184875,0.03234138013795018
numerai28_6,NeuralNetFastAI,86688,9632,0.4988936438662314,0.6920404711763579,0.005550950765609741,0.0013896231539547443,0.5204526782035828,0.032926819985732436
numerai28_6,NeuralNetTorch,86688,9632,0.49878555390845425,0.6919314909160723,0.00443623960018158,0.003195663448423147,0.5231519937515259,0.029081138083711267
numerai28_6,RandomForest,86688,9632,0.4992582975428868,0.6924027520859191,0.008486755192279816,0.005196285434067249,0.5128737688064575,0.05168882990255952
