dataset,model,cal_size,test_size,n_classes,Isotonic_brier,Isotonic_logloss,Isotonic_ece-15,Isotonic_accuracy,Isotonic_time
steel-plates-fault,NeuralNetFastAI,1746,195,7,0.3088719852932247,0.9943980294334773,0.07009418308734894,0.7743589878082275,0.013399719959124923
steel-plates-fault,NeuralNetTorch,1746,195,7,0.33663812521966097,0.6212653407636004,0.059688933193683624,0.728205144405365,0.013678302988409996
steel-plates-fault,RandomForest,1746,195,7,0.2531753469104439,0.8953153778495399,0.0492573045194149,0.8153846263885498,0.01290584309026599
steel-plates-fault,XGBoost,1746,195,7,0.2423818829138894,1.3250296346310917,0.046003445982933044,0.8153846263885498,0.013388420222327113
synthetic_control,CatBoost,540,60,6,2.1841334161490424e-09,4.2668222312204355e-06,4.351139068603516e-06,1.0,0.010488235857337713
synthetic_control,ExtraTrees,540,60,6,0.0020690095693290628,0.006458547287507905,0.005867392290383577,1.0,0.010571182006970048
synthetic_control,LightGBM,540,60,6,0.0,0.0,5.960464477539063e-08,1.0,0.010799359064549208
synthetic_control,LinearModel,540,60,6,0.0005856319623427065,0.003923748989348683,0.003767683170735836,1.0,0.010336128994822502
synthetic_control,NeuralNetFastAI,540,60,6,4.6844183819936954e-05,0.0006368067345422151,0.0006248354911804199,1.0,0.010550987906754017
synthetic_control,NeuralNetTorch,540,60,6,0.006941393279454114,0.01278490810821942,0.010493242181837559,1.0,0.010183845879510045
synthetic_control,RandomForest,540,60,6,0.002238845372162624,0.007674847335507284,0.007038295269012451,1.0,0.010433419840410352
synthetic_control,XGBoost,540,60,6,0.0014975454592213763,0.005346972494292908,0.004928427282720804,1.0,0.010643026093021035
texture,CatBoost,4950,550,11,0.011861948448920917,0.02026432761926395,0.006982656195759773,0.9927272796630859,0.023357968078926206
texture,ExtraTrees,4950,550,11,0.019234088600979103,0.03257011709217928,0.012994378805160522,0.9854545593261719,0.02164747193455696
texture,LightGBM,4950,550,11,0.004884773188933724,0.010200689636111409,0.00495845265686512,0.9981818199157715,0.021896837977692485
texture,LinearModel,4950,550,11,0.007943570099740702,0.3194112787634238,0.004823502618819475,0.996363639831543,0.021976344985887408
texture,NeuralNetFastAI,4950,550,11,0.007823920242772823,0.1646676258017874,0.004482700489461422,0.9945454597473145,0.021341738058254123
texture,NeuralNetTorch,4950,550,11,0.004276252303261291,0.15997070030038274,0.002672603353857994,0.9981818199157715,0.02277429192326963
texture,RandomForest,4950,550,11,0.02864659975383173,0.04894607499533929,0.009479791857302189,0.9781818389892578,0.021524199983105063
texture,XGBoost,4950,550,11,0.015787363505502097,0.03025059673695179,0.009242868050932884,0.9890909194946289,0.0232001889962703
vehicle,CatBoost,761,85,4,0.27709082994989415,1.4279831274178671,0.05445961654186249,0.7764706015586853,0.009064735844731331
vehicle,ExtraTrees,761,85,4,0.2646549978951813,3.404937599201771,0.04361984506249428,0.800000011920929,0.008938034065067768
vehicle,LightGBM,761,85,4,0.27387913422530846,0.43367101843206857,0.07812080532312393,0.800000011920929,0.0090675491373986
vehicle,LinearModel,761,85,4,0.2119226942457623,0.3314414810327462,0.06840036809444427,0.8235294222831726,0.009021309902891517
vehicle,NeuralNetFastAI,761,85,4,0.19628131362611975,1.3044655292743235,0.07848267257213593,0.8352941274642944,0.008956196019425988
vehicle,NeuralNetTorch,761,85,4,0.19440039091302438,1.3199265889552012,0.04016745835542679,0.8588235378265381,0.00940300920046866
vehicle,RandomForest,761,85,4,0.277460915059071,1.4383058270488718,0.06146323308348656,0.7529411911964417,0.00890368316322565
vehicle,XGBoost,761,85,4,0.28179111602972146,1.4415211336277538,0.053014177829027176,0.7764706015586853,0.008885435061529279
volcanoes-a2,CatBoost,1460,163,5,0.11762796781898793,0.24789234957121276,0.04606600105762482,0.9018405079841614,0.011024561012163758
volcanoes-a2,ExtraTrees,1460,163,5,0.11553167658639911,0.2501699090912894,0.0621236115694046,0.9202454090118408,0.010824444936588407
volcanoes-a2,LightGBM,1460,163,5,0.10569525489498195,0.22430901990571958,0.0425708144903183,0.9325153231620789,0.010712157934904099
volcanoes-a2,LinearModel,1460,163,5,0.11711031967815436,0.2557356769910156,0.041361674666404724,0.9141104221343994,0.010922434972599149
volcanoes-a2,NeuralNetFastAI,1460,163,5,0.10842423251825471,0.22824686502308564,0.046874068677425385,0.9141104221343994,0.010827701073139906
volcanoes-a2,NeuralNetTorch,1460,163,5,0.10936237107363761,0.2316064311848507,0.04342443868517876,0.9263803958892822,0.010590663878247142
volcanoes-a2,RandomForest,1460,163,5,0.11773305846217139,0.25490160753904983,0.04825016111135483,0.907975435256958,0.011430786922574043
volcanoes-a2,XGBoost,1460,163,5,0.11198645738762147,0.24749143268237245,0.0375688299536705,0.9202454090118408,0.010635110083967447
volcanoes-a3,CatBoost,1368,153,5,0.13891410047565636,0.29487053228975796,0.03998541459441185,0.8954248428344727,0.010818156180903316
volcanoes-a3,ExtraTrees,1368,153,5,0.14573523346625253,0.31515874460263615,0.04211368411779404,0.8954248428344727,0.0110190249979496
volcanoes-a3,LightGBM,1368,153,5,0.1449872810063054,0.29785968553399317,0.05857351794838905,0.9019607901573181,0.01105004409328103
volcanoes-a3,LinearModel,1368,153,5,0.14476259670075328,0.32295613304761445,0.04284572973847389,0.9019607901573181,0.010879097040742636
volcanoes-a3,NeuralNetFastAI,1368,153,5,0.1438846385988516,0.3190590609476408,0.05127627030014992,0.8954248428344727,0.010931425960734487
volcanoes-a3,NeuralNetTorch,1368,153,5,0.14212453434755895,0.30873092519076617,0.037813700735569,0.8954248428344727,0.011002611136063933
volcanoes-a3,RandomForest,1368,153,5,0.1445275227771833,0.30071444291240973,0.06014491617679596,0.8954248428344727,0.010814374079927802
volcanoes-a3,XGBoost,1368,153,5,0.14331687100576054,0.3044623797735449,0.05538332462310791,0.9084967374801636,0.011325248051434755
volcanoes-a4,CatBoost,1363,152,5,0.13150187648322975,0.8440077824617884,0.03728742524981499,0.9144737124443054,0.011144293006509542
volcanoes-a4,ExtraTrees,1363,152,5,0.13009872091549082,0.29372938947200716,0.03420304134488106,0.9144737124443054,0.011065741069614887
volcanoes-a4,LightGBM,1363,152,5,0.13118178557398583,0.29985526314995126,0.03912300243973732,0.9078947305679321,0.010870683006942272
volcanoes-a4,LinearModel,1363,152,5,0.12960427319958795,0.3120681961536957,0.028546972200274467,0.9144737124443054,0.010930408956483006
volcanoes-a4,NeuralNetFastAI,1363,152,5,0.12833378597284456,0.8403821388855248,0.03888319805264473,0.9144737124443054,0.010787416016682982
volcanoes-a4,NeuralNetTorch,1363,152,5,0.1307856764499555,0.2968891379892556,0.04818170517683029,0.9144737124443054,0.010792494984343648
volcanoes-a4,RandomForest,1363,152,5,0.13564029559493698,0.31485208005679555,0.052703630179166794,0.8947368264198303,0.010562177048996091
volcanoes-a4,XGBoost,1363,152,5,0.13674507629802352,0.3284529250726014,0.04537556320428848,0.9144737124443054,0.010996613884344697
volcanoes-b1,CatBoost,9158,1018,5,0.0544256517412133,0.13858437167687562,0.008601502515375614,0.968565821647644,0.02223177603445947
volcanoes-b1,ExtraTrees,9158,1018,5,0.05353207411608249,0.13885875000574743,0.005359513219445944,0.9695481061935425,0.02248530904762447
volcanoes-b1,LightGBM,9158,1018,5,0.05543386971831406,0.2245746412478525,0.009289756417274475,0.9666011929512024,0.022028804989531636
volcanoes-b1,LinearModel,9158,1018,5,0.05473551015875886,0.22075051861657266,0.009132216684520245,0.968565821647644,0.022602873854339123
volcanoes-b1,NeuralNetFastAI,9158,1018,5,0.05452295269191352,0.14140449205794517,0.01343786995857954,0.968565821647644,0.023070492083206773
volcanoes-b1,NeuralNetTorch,9158,1018,5,0.05416427629464129,0.14397404884047627,0.00967635028064251,0.9705304503440857,0.02341819112189114
volcanoes-b1,RandomForest,9158,1018,5,0.05422751405928304,0.14093823304722017,0.004773647524416447,0.968565821647644,0.022498659091070294
volcanoes-b1,XGBoost,9158,1018,5,0.05450813441439031,0.1428436791156729,0.01520233228802681,0.968565821647644,0.022654879838228226
volcanoes-b2,CatBoost,9601,1067,5,0.05136923575219618,0.13734954185379727,0.006836950313299894,0.9681349396705627,0.023390993010252714
volcanoes-b2,ExtraTrees,9601,1067,5,0.05034765077939007,0.1343305324555356,0.009773453697562218,0.969072163105011,0.024326374055817723
volcanoes-b2,LightGBM,9601,1067,5,0.05300403993371309,0.2981502663938957,0.009307676926255226,0.969072163105011,0.02377652795985341
volcanoes-b2,LinearModel,9601,1067,5,0.05148590594703111,0.2911369076417716,0.0076423329301178455,0.9700093865394592,0.02265885006636381
volcanoes-b2,NeuralNetFastAI,9601,1067,5,0.05091960770927669,0.28862407660090755,0.007613940630108118,0.969072163105011,0.022639494854956865
