dataset,model,cal_size,test_size,n_classes,Venn-Abers_brier,Venn-Abers_logloss,Venn-Abers_ece-15,Venn-Abers_accuracy,Venn-Abers_time
car,NeuralNetFastAI,1555,173,4,0.0068501707527774845,0.0247070132175911,0.015830988064408302,0.9942196607589722,0.18714252300560474
car,NeuralNetTorch,1555,173,4,0.02080134302924769,0.04519984553452567,0.03022807091474533,0.9884393215179443,0.024210277013480663
car,RandomForest,1555,173,4,0.03002683311116397,0.06579639794655624,0.02155667170882225,0.9826589822769165,0.01701081800274551
car,XGBoost,1555,173,4,0.0013828873762354544,0.01528449913804264,0.014840563759207726,1.0,0.09800125611945987
cardiotocography,CatBoost,1913,213,10,0.0037372066269247472,0.029154111158306063,0.027056552469730377,1.0,0.5840693290811032
cardiotocography,ExtraTrees,1913,213,10,3.0318810173999178e-05,0.0052346063606296825,0.005222022533416748,1.0,0.005052205873653293
cardiotocography,LightGBM,1913,213,10,0.008115815312035606,0.03835700732716937,0.027196019887924194,0.9953051805496216,0.4287515499163419
cardiotocography,LinearModel,1913,213,10,0.005841717822939721,0.03260453816805994,0.02904585748910904,1.0,0.3292726338841021
cardiotocography,NeuralNetFastAI,1913,213,10,0.0120799708992491,0.027668740223669074,0.007176135201007128,0.98591548204422,0.0038083461113274097
cardiotocography,NeuralNetTorch,1913,213,10,3.0318810173999178e-05,0.0052346063606296825,0.005222022533416748,1.0,0.0038337509613484144
cardiotocography,RandomForest,1913,213,10,0.0013408124976291877,0.009258202603050825,0.0084766186773777,1.0,0.00596426404081285
cardiotocography,XGBoost,1913,213,10,0.005189234897524425,0.030837036571589354,0.0278032124042511,1.0,0.6264940958935767
cmc,CatBoost,1325,148,3,0.5028584676661306,0.8470166677323334,0.07701300084590912,0.6013513803482056,0.03259147983044386
cmc,ExtraTrees,1325,148,3,0.5053920283406024,0.8562501100129511,0.07594379037618637,0.5945945978164673,0.029685816960409284
cmc,LightGBM,1325,148,3,0.5240503048573668,0.8814494635077571,0.050170063972473145,0.5472972989082336,0.03147633816115558
cmc,LinearModel,1325,148,3,0.523915700768105,0.8754025138144305,0.08798432350158691,0.6081081032752991,0.032219971995800734
cmc,NeuralNetFastAI,1325,148,3,0.5038487888252521,0.8490282154309011,0.07802475243806839,0.6081081032752991,0.03087672288529575
cmc,NeuralNetTorch,1325,148,3,0.5014510566348258,0.8488705419607621,0.08949238061904907,0.6283783912658691,0.032155186869204044
cmc,RandomForest,1325,148,3,0.5060938600701628,0.851817472519968,0.07917916774749756,0.6148648858070374,0.03238295018672943
cmc,XGBoost,1325,148,3,0.5041707085143278,0.8566584500492442,0.11371149122714996,0.5675675868988037,0.03214049688540399
cnae-9,CatBoost,972,108,9,0.07777160749419305,0.2074743689144415,0.07601167261600494,0.9629629850387573,0.24995309906080365
cnae-9,ExtraTrees,972,108,9,0.07763233200782568,0.20324090267454298,0.09813641756772995,0.9722222089767456,0.0894465718884021
cnae-9,LightGBM,972,108,9,0.0625494656446245,0.17238987125385896,0.07529272884130478,0.9629629850387573,0.2646992630325258
cnae-9,LinearModel,972,108,9,0.07162073103108337,0.175820072394475,0.0728313997387886,0.9629629850387573,0.24081764090806246
cnae-9,NeuralNetFastAI,972,108,9,0.061168761013843005,0.16477048282358087,0.07666386663913727,0.9629629850387573,0.2592094650026411
cnae-9,NeuralNetTorch,972,108,9,0.06699019364083689,0.1731095622864179,0.07641396671533585,0.9629629850387573,0.15360833005979657
cnae-9,RandomForest,972,108,9,0.08527942134111155,0.2234011291645792,0.09758926928043365,0.9537037014961243,0.09145161299966276
cnae-9,XGBoost,972,108,9,0.0865625546201634,0.21867631561658077,0.08135053515434265,0.9351851940155029,0.25809742300771177
collins,CatBoost,900,100,30,0.8130245566496851,2.1748408341921346,0.06011338531970978,0.3100000023841858,0.6221012258902192
collins,ExtraTrees,900,100,30,0.8345722350994916,2.225823882831952,0.06200525909662247,0.25999999046325684,0.4353985299821943
collins,LightGBM,900,100,30,0.8191847720591177,2.193509898954514,0.09060421586036682,0.3199999928474426,0.6055088241118938
collins,LinearModel,900,100,30,0.8176839894017988,2.223153393945584,0.07425422966480255,0.3199999928474426,0.556804260937497
collins,NeuralNetFastAI,900,100,30,0.8131997273138316,2.184652924609164,0.05258436128497124,0.30000001192092896,0.6395018871407956
collins,NeuralNetTorch,900,100,30,0.7930847046278694,2.1157726545323134,0.07532205432653427,0.30000001192092896,0.6396143308375031
collins,RandomForest,900,100,30,0.8419532521653604,2.2829976658784763,0.08506462723016739,0.25999999046325684,0.42626677406951785
collins,XGBoost,900,100,30,0.8484673308129368,2.3210105991675745,0.06806614995002747,0.2199999988079071,0.5721710440702736
connect-4,CatBoost,60801,6756,3,0.17835009274373603,0.32074293256258163,0.016084523871541023,0.8732978105545044,9.50640936079435
connect-4,ExtraTrees,60801,6756,3,0.2510760425115736,0.4537197435806328,0.014993876218795776,0.8228241801261902,2.192975380923599
connect-4,LightGBM,60801,6756,3,0.17810657339864033,0.3210330297238105,0.017719607800245285,0.8728537559509277,8.900552897946909
connect-4,LinearModel,60801,6756,3,0.3347480739733668,0.5944658593143187,0.013514548540115356,0.7568087577819824,2.396308550843969
connect-4,NeuralNetFastAI,60801,6756,3,0.16727860159131722,0.3011375978347064,0.020324941724538803,0.8830668926239014,8.059171756962314
connect-4,NeuralNetTorch,60801,6756,3,0.1751583135995687,0.3141559567223468,0.024124475196003914,0.8774423003196716,6.935723878908902
connect-4,RandomForest,60801,6756,3,0.2616297841817757,0.4744794282668301,0.01549158152192831,0.8164594173431396,3.188463658792898
connect-4,XGBoost,60801,6756,3,0.17893988493799026,0.32184350630054476,0.01583920791745186,0.8722617030143738,9.528507838957012
dilbert,CatBoost,9000,1000,5,0.023960907309913335,0.047173490618378264,0.008273736573755741,0.984000027179718,1.7953754980117083
dilbert,ExtraTrees,9000,1000,5,0.04001838340879287,0.07958025968306533,0.01705891266465187,0.972000002861023,0.3892811378464103
dilbert,LightGBM,9000,1000,5,0.01127744991151484,0.024705500055208603,0.0049249860458076,0.9940000176429749,0.6952075380831957
dilbert,LinearModel,9000,1000,5,0.09193447591440215,0.16997702475882095,0.02626797743141651,0.9390000104904175,0.33782013901509345
dilbert,NeuralNetFastAI,9000,1000,5,0.021653322747965182,0.04517649469517148,0.019836848601698875,0.9900000095367432,1.0348802858497947
dilbert,NeuralNetTorch,9000,1000,5,0.01506976410622016,0.03735250243283334,0.020671885460615158,0.9900000095367432,1.625105667160824
dilbert,RandomForest,9000,1000,5,0.06587894930090311,0.12593668700129163,0.018455365672707558,0.9580000042915344,0.3261809160467237
dilbert,XGBoost,9000,1000,5,0.019518970943616792,0.040903786200986704,0.007055859547108412,0.9869999885559082,1.6748617920093238
dna,CatBoost,2867,319,3,0.06353061497946366,0.12082594426775695,0.027063272893428802,0.9561128616333008,0.18588673300109804
dna,ExtraTrees,2867,319,3,0.08208345281707714,0.16129569433326785,0.03392285108566284,0.9529780745506287,0.05195699096657336
