dataset,model,cal_size,test_size,n_classes,CatBoost_brier,CatBoost_logloss,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
baseball,XGBoost,1206,134,3,0.07313529618687262,0.1364571907353855,0.04407024383544922,0.9626865386962891,0.5740923539269716
car,CatBoost,1555,173,4,0.00015078650387228526,0.0010347343419759478,0.0009920041775330901,1.0,4.222648756112903
car,ExtraTrees,1555,173,4,0.007895527572501589,0.016698177085757528,0.010625695809721947,0.9942196607589722,0.9307901819702238
car,LightGBM,1555,173,4,6.167649059498036e-07,0.0002428682420708503,0.00024336576461791992,1.0,3.9825002918951213
car,LinearModel,1555,173,4,0.0653881752533191,0.1195722037330529,0.039273541420698166,0.9595375657081604,1.2835339549928904
car,NeuralNetFastAI,1555,173,4,0.010213306335686172,0.01775054368431375,0.005881018005311489,0.9942196607589722,3.1722233078908175
car,NeuralNetTorch,1555,173,4,0.006439780911072744,0.009326655165008897,0.005695982836186886,0.9942196607589722,4.055236554937437
car,RandomForest,1555,173,4,0.03196945087946018,0.06357029722208003,0.012976710684597492,0.9826589822769165,1.42419330496341
car,XGBoost,1555,173,4,2.741762931694618e-06,0.000815380671188324,0.000813901424407959,1.0,3.0260834300424904
cardiotocography,CatBoost,1913,213,10,0.00057945051537268,0.0022736046533467905,0.001978310290724039,1.0,14.254569539101794
cardiotocography,ExtraTrees,1913,213,10,8.229585204785091e-07,0.0008029021448527315,0.0008029937744140625,1.0,6.117832349147648
cardiotocography,LightGBM,1913,213,10,2.1013424119374684e-07,0.00037278969933878745,0.00037235021591186523,1.0,15.598846909124404
cardiotocography,LinearModel,1913,213,10,0.0027632237189237525,0.005797953128028119,0.003395159961655736,0.9953051805496216,15.1680067460984
cardiotocography,NeuralNetFastAI,1913,213,10,0.00617220325832538,0.00842351854072422,0.005785525776445866,0.9906103014945984,6.331102597992867
cardiotocography,NeuralNetTorch,1913,213,10,2.3667788849461402e-07,0.0004118683067949134,0.00041353702545166016,1.0,6.369339309865609
cardiotocography,RandomForest,1913,213,10,7.082556159388762e-07,0.0007548568740751663,0.0007540583610534668,1.0,6.483779428061098
cardiotocography,XGBoost,1913,213,10,1.5090896991912457e-05,0.0008517638309596706,0.0008477568626403809,1.0,15.074068502988666
cmc,CatBoost,1325,148,3,0.49651860116186314,0.8399682453619696,0.10831397771835327,0.5810810923576355,0.41775121283717453
cmc,ExtraTrees,1325,148,3,0.5029061926007488,0.8518242540697715,0.06878511607646942,0.587837815284729,0.43469341401942074
cmc,LightGBM,1325,148,3,0.5198749867392413,0.874671999654757,0.06352423876523972,0.5810810923576355,0.4679840891622007
cmc,LinearModel,1325,148,3,0.521166522434356,0.8712822912988972,0.15201663970947266,0.6081081032752991,0.4541722140274942
cmc,NeuralNetFastAI,1325,148,3,0.5188037755178725,0.8726448172845803,0.07593164592981339,0.5743243098258972,0.6338826261926442
cmc,NeuralNetTorch,1325,148,3,0.5061266396660787,0.8559938602327807,0.07160066813230515,0.5945945978164673,0.4698126339353621
cmc,RandomForest,1325,148,3,0.49716390418747064,0.8400143315116556,0.07013829052448273,0.6081081032752991,0.46712900302372873
cmc,XGBoost,1325,148,3,0.5004186103725384,0.8520819622672472,0.12634702026844025,0.6013513803482056,0.45521710300818086
cnae-9,CatBoost,972,108,9,0.07268738003204539,0.19012377386075607,0.054657209664583206,0.9537037014961243,2.136611372930929
cnae-9,ExtraTrees,972,108,9,0.05449315217390639,0.14890984263570192,0.057201121002435684,0.9722222089767456,3.012564965058118
cnae-9,LightGBM,972,108,9,0.06027088177304383,0.1594447537500484,0.059990085661411285,0.9629629850387573,2.542372113093734
cnae-9,LinearModel,972,108,9,0.08230478320229512,0.1852471137534953,0.05582753196358681,0.9444444179534912,2.41548258299008
cnae-9,NeuralNetFastAI,972,108,9,0.04977560545109606,0.11765786496475047,0.04869740828871727,0.9722222089767456,1.879246762022376
cnae-9,NeuralNetTorch,972,108,9,0.06706831332637864,0.16452404137804266,0.030255891382694244,0.9444444179534912,3.4704009369015694
cnae-9,RandomForest,972,108,9,0.06988069927730726,0.1746662841946047,0.05597352236509323,0.9629629850387573,3.0414243459235877
cnae-9,XGBoost,972,108,9,0.09643076855639536,0.2248872163100151,0.05725617706775665,0.9351851940155029,1.9263451751321554
collins,CatBoost,900,100,30,0.8342414948552972,2.1869287417479364,0.06346061825752258,0.2800000011920929,25.994384875986725
collins,ExtraTrees,900,100,30,0.8533829590875931,2.2600401078055454,0.05506563559174538,0.20000000298023224,25.05116884992458
collins,LightGBM,900,100,30,0.8299298811626679,2.18766791166518,0.07012061029672623,0.2800000011920929,24.934962016995996
collins,LinearModel,900,100,30,0.8258770427560914,2.146206745377132,0.11932244896888733,0.33000001311302185,25.864913318073377
collins,NeuralNetFastAI,900,100,30,0.8218097334670391,2.138058925043962,0.08203514665365219,0.27000001072883606,21.604774242034182
collins,NeuralNetTorch,900,100,30,0.8081424785185728,2.12932462730915,0.1096244528889656,0.25,21.25866673514247
collins,RandomForest,900,100,30,0.857282701483158,2.272777223419536,0.0816798061132431,0.23000000417232513,26.501919063040987
collins,XGBoost,900,100,30,0.8495392656089747,2.272186494308625,0.04038573056459427,0.25,23.88685009209439
connect-4,CatBoost,60801,6756,3,0.17562693286847664,0.31398723895642844,0.011928707361221313,0.8781823515892029,12.980040730908513
connect-4,ExtraTrees,60801,6756,3,0.2495089297389263,0.44876901318759466,0.01227397657930851,0.8244523406028748,12.035670965909958
connect-4,LightGBM,60801,6756,3,0.17574186948807466,0.3143074646612457,0.010082275606691837,0.8758140802383423,12.783367384923622
connect-4,LinearModel,60801,6756,3,0.3331552075793148,0.5895507783645072,0.009826049208641052,0.7571048140525818,9.72822021599859
connect-4,NeuralNetFastAI,60801,6756,3,0.16699501534642766,0.2988553254324049,0.017305869609117508,0.8836589455604553,14.165286362869665
connect-4,NeuralNetTorch,60801,6756,3,0.17517180401642385,0.3135352448624619,0.024607833474874496,0.8795145153999329,17.474500528071076
