dataset,model,cal_size,test_size,n_classes,ETS_brier,ETS_logloss,ETS_ece-15,ETS_accuracy,ETS_time
cardiotocography,LightGBM,1913,213,10,1.9291710142626582e-11,3.6898402463489622e-06,2.1457672119140625e-06,1.0,0.0056625050492584705
cardiotocography,LinearModel,1913,213,10,3.4899169521726897e-10,6.55465235255326e-06,5.304813385009766e-06,1.0,0.00556910689920187
cardiotocography,NeuralNetFastAI,1913,213,10,0.0001333977380476374,0.0006054736911242067,0.0005684078205376863,1.0,0.005603665951639414
cardiotocography,NeuralNetTorch,1913,213,10,8.999971188747796e-13,8.999989641742521e-07,5.960464477539063e-08,1.0,0.0055694580078125
cardiotocography,RandomForest,1913,213,10,5.548366101739712e-90,0.0,5.960464477539063e-08,1.0,0.007029247935861349
cardiotocography,XGBoost,1913,213,10,6.741688895710206e-12,1.0461863520444035e-06,2.980232238769531e-07,1.0,0.021705851890146732
cmc,CatBoost,1325,148,3,0.49595461611596664,0.8377136402648923,0.06740140914916992,0.5945945978164673,0.006134604103863239
cmc,ExtraTrees,1325,148,3,0.5069867722864239,0.8586433440451448,0.0848260298371315,0.5810810923576355,0.006780329160392284
cmc,LightGBM,1325,148,3,0.5236006990320787,0.8838080091139222,0.0975782722234726,0.5405405163764954,0.005539595149457455
cmc,LinearModel,1325,148,3,0.5235318025728547,0.8741054679711434,0.09626128524541855,0.6013513803482056,0.008614740800112486
cmc,NeuralNetFastAI,1325,148,3,0.4981376487063896,0.8389051306261424,0.07559546083211899,0.5945945978164673,0.0068089282140135765
cmc,NeuralNetTorch,1325,148,3,0.5027908113740136,0.8481742571981168,0.07326103746891022,0.6216216087341309,0.008592499885708094
cmc,RandomForest,1325,148,3,0.5047699203861551,0.8486380852084446,0.07110606133937836,0.587837815284729,0.006210362073034048
cmc,XGBoost,1325,148,3,0.5001830652245025,0.8472017509634565,0.10070039331912994,0.5810810923576355,0.005635542795062065
cnae-9,CatBoost,972,108,9,0.07148156301780544,0.16822556229933786,0.054605673998594284,0.9537037014961243,0.009490565164014697
cnae-9,ExtraTrees,972,108,9,0.06568502694796029,0.15326906857581887,0.045505523681640625,0.9629629850387573,0.012570434948429465
cnae-9,LightGBM,972,108,9,0.050180862177840936,0.11834957935065728,0.036764174699783325,0.9629629850387573,0.0058668809942901134
cnae-9,LinearModel,972,108,9,0.06720717960258657,0.14589203139133566,0.02331206202507019,0.9444444179534912,0.009564423933625221
cnae-9,NeuralNetFastAI,972,108,9,0.05216200594125436,0.11393748701882883,0.036874596029520035,0.9537037014961243,0.005941377952694893
cnae-9,NeuralNetTorch,972,108,9,0.056286365197594695,0.13568766771066548,0.048674289137125015,0.9629629850387573,0.008785997983068228
cnae-9,RandomForest,972,108,9,0.07509057726810633,0.17981597168439342,0.028462104499340057,0.9537037014961243,0.011865569977089763
cnae-9,XGBoost,972,108,9,0.08441202519492676,0.1826535720457715,0.04684470593929291,0.9351851940155029,0.016187623841688037
collins,CatBoost,900,100,30,0.8074588450235689,2.1165412679178326,0.06527498364448547,0.2800000011920929,0.01003345102071762
collins,ExtraTrees,900,100,30,0.8438523045970621,2.2268532710387023,0.044711388647556305,0.2199999988079071,0.012373403878882527
collins,LightGBM,900,100,30,0.8143839343671381,2.1736087916463456,0.0750151053071022,0.28999999165534973,0.008618926862254739
collins,LinearModel,900,100,30,0.8130526150405487,2.1578319224040006,0.10876163095235825,0.3400000035762787,0.030612012138590217
collins,NeuralNetFastAI,900,100,30,0.8026792000952778,2.0990996103728174,0.11824113875627518,0.36000001430511475,0.010705958120524883
collins,NeuralNetTorch,900,100,30,0.7843781101167383,2.031281999720814,0.06947173923254013,0.3499999940395355,0.010663776891306043
collins,RandomForest,900,100,30,0.8400866775872236,2.2416032467927822,0.0538804866373539,0.25999999046325684,0.011640209006145597
collins,XGBoost,900,100,30,0.8403952592295826,2.345695674150373,0.09722822904586792,0.25,0.011335623916238546
connect-4,CatBoost,60801,6756,3,0.1782958553431075,0.3217969968949418,0.015610077418386936,0.8735938668251038,0.12405980401672423
connect-4,ExtraTrees,60801,6756,3,0.25462402815034163,0.46580020208049056,0.011620188131928444,0.8213440179824829,0.2332124039530754
connect-4,LightGBM,60801,6756,3,0.1784752394014935,0.3228586752750185,0.011877757497131824,0.873741865158081,0.14876189082860947
