dataset,model,cal_size,test_size,n_classes,VS_brier,VS_logloss,VS_ece-15,VS_accuracy,VS_time
UMIST_Faces_Cropped,RandomForest,517,58,20,0.028972402215003967,0.1829470545053482,0.009199114516377449,0.982758641242981,0.06206173403188586
UMIST_Faces_Cropped,XGBoost,517,58,20,0.06934273988008499,1.616610050201416,0.03142358362674713,0.9482758641242981,0.4089524189475924
analcatdata_authorship,CatBoost,756,85,4,0.0670488178730011,0.22474120557308197,0.03430068492889404,0.9647058844566345,0.0507508791051805
analcatdata_authorship,ExtraTrees,756,85,4,0.04743779078125954,0.07649177312850952,0.027217548340559006,0.9647058844566345,0.060431211022660136
analcatdata_authorship,LightGBM,756,85,4,0.04701622948050499,1.109924554824829,0.023518621921539307,0.9764705896377563,0.022627216996625066
analcatdata_authorship,LinearModel,756,85,4,0.0235294122248888,1.0274888277053833,0.011764585971832275,0.9882352948188782,0.025112445931881666
analcatdata_authorship,NeuralNetFastAI,756,85,4,0.02025897055864334,0.03779765963554382,0.022022318094968796,0.9882352948188782,0.0030562360771000385
analcatdata_authorship,NeuralNetTorch,756,85,4,0.0253407284617424,0.04721958562731743,0.02260289341211319,0.9882352948188782,0.001447256887331605
analcatdata_authorship,RandomForest,756,85,4,0.036744941025972366,0.07068914920091629,0.01887323334813118,0.9764705896377563,0.03125359583646059
analcatdata_authorship,XGBoost,756,85,4,0.023773809894919395,0.03767601028084755,0.015233778394758701,0.9882352948188782,0.04644544213078916
analcatdata_dmft,CatBoost,717,80,6,0.8106043934822083,1.7196458578109741,0.05508672073483467,0.26249998807907104,0.023883090121671557
analcatdata_dmft,ExtraTrees,717,80,6,0.8139735460281372,1.7333929538726807,0.03967102989554405,0.23749999701976776,0.07676023780368268
analcatdata_dmft,LightGBM,717,80,6,0.8100842237472534,1.7196667194366455,0.042207177728414536,0.21250000596046448,0.03473546798340976
analcatdata_dmft,LinearModel,717,80,6,0.8121816515922546,1.7268556356430054,0.0534638911485672,0.2750000059604645,0.025505617959424853
analcatdata_dmft,NeuralNetFastAI,717,80,6,0.8095552325248718,1.7170403003692627,0.023751921951770782,0.25,0.053405017126351595
analcatdata_dmft,NeuralNetTorch,717,80,6,0.8086441159248352,1.7153600454330444,0.0366707444190979,0.22499999403953552,0.05106933997012675
analcatdata_dmft,RandomForest,717,80,6,0.8147395253181458,1.731731653213501,0.0265146866440773,0.23749999701976776,0.045070662163197994
analcatdata_dmft,XGBoost,717,80,6,0.8071870803833008,1.7145706415176392,0.06609709560871124,0.2874999940395355,0.05874340096488595
artificial-characters,CatBoost,9196,1022,10,0.07184276729822159,0.16649149358272552,0.04480745643377304,0.9598825573921204,0.1248407349921763
artificial-characters,ExtraTrees,9196,1022,10,0.08206348121166229,0.1990797519683838,0.03745407238602638,0.9559686779975891,0.22983694286085665
artificial-characters,LightGBM,9196,1022,10,0.05994575843214989,0.14093580842018127,0.0432775542140007,0.9598825573921204,0.15821554907597601
artificial-characters,LinearModel,9196,1022,10,0.7593629360198975,1.6950695514678955,0.056456707417964935,0.33365949988365173,0.13676416990347207
artificial-characters,NeuralNetFastAI,9196,1022,10,0.3572021722793579,0.5965078473091125,0.036237530410289764,0.7084148526191711,0.131792037980631
artificial-characters,NeuralNetTorch,9196,1022,10,0.3459634482860565,0.5851315259933472,0.03647439554333687,0.718199610710144,0.2313209599815309
artificial-characters,RandomForest,9196,1022,10,0.08297140896320343,0.20207907259464264,0.04276883974671364,0.9559686779975891,0.23571699997410178
artificial-characters,XGBoost,9196,1022,10,0.06795092672109604,0.15907900035381317,0.04287678375840187,0.9647749662399292,0.1107458311598748
