dataset,model,cal_size,test_size,n_classes,Dirichlet_brier,Dirichlet_logloss,Dirichlet_ece-15,Dirichlet_accuracy,Dirichlet_time
cnae-9,LightGBM,972,108,9,0.049319903376394074,0.16104023761024677,0.03193163871765137,0.9722222089767456,1.049607499036938
cnae-9,LinearModel,972,108,9,0.057526194452389406,0.14861496218579312,0.04708102345466614,0.9444444179534912,1.4951482000760734
cnae-9,NeuralNetFastAI,972,108,9,0.05209674020226265,0.12992410071031618,0.03590750694274902,0.9629629850387573,1.1965071430895478
cnae-9,NeuralNetTorch,972,108,9,0.0556893872805463,0.12903222053350355,0.0394679456949234,0.9722222089767456,1.505303846905008
cnae-9,RandomForest,972,108,9,0.08507479576882487,0.2256639811316647,0.053946055471897125,0.9351851940155029,1.6445030828472227
cnae-9,XGBoost,972,108,9,0.08158783353832098,0.19305160717133585,0.0441683828830719,0.9351851940155029,1.2044229260645807
collins,CatBoost,900,100,30,0.8003131497192555,2.021964715423538,0.10758814215660095,0.3100000023841858,30.90808396297507
collins,ExtraTrees,900,100,30,0.9016173057871356,2.4196425042300285,0.16143885254859924,0.2199999988079071,31.97038966906257
collins,LightGBM,900,100,30,0.8423801368685641,2.1406847809970664,0.11611920595169067,0.2800000011920929,34.50215334701352
collins,LinearModel,900,100,30,0.8731391874930374,2.3048812839724233,0.16406890749931335,0.27000001072883606,79.33746245200746
collins,NeuralNetFastAI,900,100,30,0.8163418709057376,2.113611888362186,0.11093052476644516,0.25999999046325684,21.086124155903235
collins,NeuralNetTorch,900,100,30,0.7942507977121888,2.008505478356353,0.12423601746559143,0.30000001192092896,15.848054523114115
collins,RandomForest,900,100,30,0.9311917301284254,2.4919477283924816,0.1882699579000473,0.20000000298023224,31.584446468856186
collins,XGBoost,900,100,30,0.870768722381997,2.292171637586391,0.12092820554971695,0.27000001072883606,18.559671049937606
connect-4,CatBoost,60801,6756,3,0.1756861509361029,0.31385752453387306,0.014140760526061058,0.8777382969856262,7.093229826074094
connect-4,ExtraTrees,60801,6756,3,0.24953449415933593,0.447860753279314,0.00800308771431446,0.8220840692520142,1.3276076701004058
connect-4,LightGBM,60801,6756,3,0.17583524708718756,0.31457838420077294,0.014287962578237057,0.874333918094635,1.3292889029253274
connect-4,LinearModel,60801,6756,3,0.33442003945000726,0.5916775792256029,0.011488288640975952,0.7587329745292664,1.6248740120790899
connect-4,NeuralNetFastAI,60801,6756,3,0.16714340876212097,0.2990666974399219,0.019991694018244743,0.8839550018310547,1.07833572011441
connect-4,NeuralNetTorch,60801,6756,3,0.1755199541011563,0.3143843085994171,0.025253474712371826,0.8787744045257568,1.0947712371125817
connect-4,RandomForest,60801,6756,3,0.25953939532489095,0.4673831384702616,0.008132606744766235,0.8161634206771851,1.3481597430072725
connect-4,XGBoost,60801,6756,3,0.17675864446537942,0.3155374299429944,0.013218482956290245,0.8728537559509277,1.3500988509040326
dilbert,CatBoost,9000,1000,5,0.02207065598639861,0.045037072357897064,0.007101164665073156,0.9869999885559082,6.74188024783507
dilbert,ExtraTrees,9000,1000,5,0.04091334702577523,0.08429457343083765,0.017140889540314674,0.9750000238418579,1.3915440861601382
dilbert,LightGBM,9000,1000,5,0.01086938737438691,0.02641863097975194,0.006295010447502136,0.9919999837875366,1.2184783089905977
dilbert,LinearModel,9000,1000,5,0.08998363002953559,0.16406359035928075,0.02259857952594757,0.9430000185966492,1.0685828209389001
dilbert,NeuralNetFastAI,9000,1000,5,0.019041055741609286,0.036910837078928366,0.009531508199870586,0.9869999885559082,1.1974820010364056
dilbert,NeuralNetTorch,9000,1000,5,0.014240940840292182,0.030827824421846603,0.014081603847444057,0.9909999966621399,1.1925915840547532
dilbert,RandomForest,9000,1000,5,0.0660105448984728,0.12806200440260945,0.016324937343597412,0.953000009059906,1.199705010978505
dilbert,XGBoost,9000,1000,5,0.01844781484586875,0.039214459970445224,0.005793064832687378,0.9890000224113464,1.0335698630660772
dna,CatBoost,2867,319,3,0.06259628700290917,0.12030816495121291,0.02549443021416664,0.9655172228813171,5.9687762630637735
dna,ExtraTrees,2867,319,3,0.08155701998042417,0.15683666477226282,0.035592611879110336,0.9467084407806396,0.514912375016138
dna,LightGBM,2867,319,3,0.06257259994454202,0.11932652679057747,0.018382763490080833,0.9561128616333008,0.41717765596695244
dna,LinearModel,2867,319,3,0.12454483231862895,0.2294347444683107,0.04451953247189522,0.92476487159729,0.6427644270006567
dna,NeuralNetFastAI,2867,319,3,0.08194568873997551,0.15600663895729955,0.026808034628629684,0.9435736536979675,0.623681359924376
dna,NeuralNetTorch,2867,319,3,0.08004481862285709,0.1573381828605038,0.022433551028370857,0.9467084407806396,0.428433297900483
dna,RandomForest,2867,319,3,0.09085119192352745,0.16989983036681916,0.02250656485557556,0.9404388666152954,0.5374183631502092
dna,XGBoost,2867,319,3,0.06148736676228637,0.12094698859957043,0.01905541494488716,0.9592476487159729,0.4239351279102266
eucalyptus,CatBoost,662,74,5,0.4023618163772352,0.6619818930178312,0.0756087675690651,0.7027027010917664,6.038974677911028
eucalyptus,ExtraTrees,662,74,5,0.36489929601479026,0.6190884206420383,0.0900862067937851,0.7027027010917664,0.6877557430416346
eucalyptus,LightGBM,662,74,5,0.35548311813810973,0.6089188525270242,0.10134659707546234,0.7432432174682617,0.5826597749255598
