dataset,model,cal_size,test_size,n_classes,CatBoost_brier,CatBoost_logloss,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
anneal,ModernNCA_GPU,598,300,5,0.01680308064328927,0.043588548390198885,0.00835007056593895,0.9900000095367432,4.596571104135364
hiva_agnostic,ModernNCA_GPU,2563,1282,3,0.06840141012608572,0.17490095938977124,0.004427008796483278,0.9648985862731934,0.6155964031349868
maternal_health_risk,ModernNCA_GPU,676,338,3,0.22321651561629818,0.3996056772537163,0.03360194340348244,0.8431952595710754,0.5402126838453114
splice,ModernNCA_GPU,2126,1064,3,0.04145165755794955,0.09311447477671472,0.02003403753042221,0.9736841917037964,0.6701785679906607
students_dropout_and_academic_success,ModernNCA_GPU,2949,1475,3,0.32464123910803133,0.5765574311628144,0.02248922362923622,0.7769491672515869,0.8415936250239611
website_phishing,ModernNCA_GPU,902,451,3,0.13006492765141467,0.23246994984510272,0.03204075247049332,0.911308228969574,0.8384446841664612
MIC,Mitra_GPU,1132,567,8,0.18548021705223738,0.4766658900991351,0.026909422129392624,0.8871251940727234,1.0037156180478632
anneal,Mitra_GPU,598,300,5,0.017535296787916488,0.04344188474196323,0.02151184156537056,0.996666669845581,1.3307486299891025
maternal_health_risk,Mitra_GPU,676,338,3,0.19657824797797832,0.3780342142988537,0.04101799800992012,0.8757396340370178,0.46670439816080034
splice,Mitra_GPU,2126,1064,3,0.04248524479519202,0.08934028347214146,0.014094063080847263,0.972744345664978,0.9165625460445881
students_dropout_and_academic_success,Mitra_GPU,2949,1475,3,0.31531719934154173,0.5608803576809066,0.02061792090535164,0.7735593318939209,0.9454099531285465
website_phishing,Mitra_GPU,902,451,3,0.1173960007463588,0.21713336607900735,0.021606456488370895,0.9268292784690857,0.5115446969866753
MIC,TabDPT_GPU,1132,567,8,0.19180452697707806,0.49125366976111307,0.019704753533005714,0.8853615522384644,1.0833987148944288
SDSS17,TabDPT_GPU,52035,26018,3,0.04056025396661371,0.08040848514212484,0.0021575470454990864,0.9752094745635986,12.178245602874085
anneal,TabDPT_GPU,598,300,5,0.016044645481547982,0.04632071276859824,0.006828421261161566,0.9900000095367432,1.8304859360214323
hiva_agnostic,TabDPT_GPU,2563,1282,3,0.0685829985476181,0.17662643967487382,0.0016444973880425096,0.9648985862731934,0.6675847910810262
maternal_health_risk,TabDPT_GPU,676,338,3,0.17602682194842187,0.34249705384582907,0.03983847051858902,0.8875739574432373,0.4830127381719649
splice,TabDPT_GPU,2126,1064,3,0.10022986012802118,0.18686623896942334,0.021366601809859276,0.932330846786499,0.8788758490700275
students_dropout_and_academic_success,TabDPT_GPU,2949,1475,3,0.3250218379554053,0.5754879639673579,0.021847428753972054,0.7633898258209229,0.7526592588983476
website_phishing,TabDPT_GPU,902,451,3,0.11475671019508772,0.20783950761364461,0.0193256214261055,0.9290465712547302,0.7052187928929925
