dataset,model,cal_size,test_size,n_classes,Hist-uniform_brier,Hist-uniform_logloss,Hist-uniform_ece-15,Hist-uniform_accuracy,Hist-uniform_time
MIC,LimiX_GPU,1132,567,8,0.19314786064417094,0.636667987449206,0.044029492884874344,0.8853615522384644,0.00417634192854166
anneal,LimiX_GPU,598,300,5,0.006890142711228811,0.23420104735486086,0.0006063910550437868,0.996666669845581,0.0024761389940977097
hiva_agnostic,LimiX_GPU,2563,1282,3,0.06827049227754875,0.17384435290257272,4.38690185546875e-05,0.9648985862731934,0.0022644540295004845
maternal_health_risk,LimiX_GPU,676,338,3,0.1866779321340262,0.3650252466615487,0.05362682417035103,0.8905325531959534,0.0017400619108229876
splice,LimiX_GPU,2126,1064,3,0.03541626147255189,0.08073815683988245,0.012797100469470024,0.9765037298202515,0.002168531995266676
students_dropout_and_academic_success,LimiX_GPU,2949,1475,3,0.319415120025168,0.5755258415522543,0.026610493659973145,0.7742372751235962,0.002475688001140952
website_phishing,LimiX_GPU,902,451,3,0.1374346675645647,1.0998499556065524,0.03889353200793266,0.9201774001121521,0.0017790808342397213
MIC,TabM_GPU,1132,567,8,0.19455033834591132,1.215377230349422,0.023460956290364265,0.8906525373458862,0.004136814037337899
SDSS17,TabM_GPU,52035,26018,3,0.04136339906828302,0.0927913459849318,0.002050019335001707,0.9746713638305664,0.01642300793901086
anneal,TabM_GPU,598,300,5,0.01846871349337839,0.2514246482826662,0.007895372807979584,0.9900000095367432,0.0025616451166570187
hiva_agnostic,TabM_GPU,2563,1282,3,0.0682667247234593,0.17381307191567602,1.436471939086914e-05,0.9648985862731934,0.0022378310095518827
maternal_health_risk,TabM_GPU,676,338,3,0.2672743457197271,0.4854086754519109,0.06498929858207703,0.8254438042640686,0.0017398179043084383
splice,TabM_GPU,2126,1064,3,0.042456077215128035,0.09140576135298313,0.01054443046450615,0.9755638837814331,0.0021908890921622515
students_dropout_and_academic_success,TabM_GPU,2949,1475,3,0.3230092859999444,0.5827673248671662,0.02917473390698433,0.7681356072425842,0.002489701146259904
website_phishing,TabM_GPU,902,451,3,0.12007110530690494,0.22947893004402883,0.033844903111457825,0.9135255217552185,0.0017920800019055605
MIC,RealMLP_GPU,1132,567,8,0.19682332927060828,0.8730269757721923,0.020947663113474846,0.8835979104042053,0.004201134899631143
SDSS17,RealMLP_GPU,52035,26018,3,0.043352556630861905,0.09571762441592227,0.0025813302490860224,0.9744407534599304,0.01657438394613564
anneal,RealMLP_GPU,598,300,5,0.018651792793141473,0.2566821637420568,0.00910676084458828,0.9900000095367432,0.0026603550650179386
hiva_agnostic,RealMLP_GPU,2563,1282,3,0.06840871858382709,0.17409499533151232,0.0013596063945442438,0.9648985862731934,0.002284170128405094
maternal_health_risk,RealMLP_GPU,676,338,3,0.21759091086164534,0.4191452332418017,0.07154827564954758,0.8550295829772949,0.0017085340805351734
splice,RealMLP_GPU,2126,1064,3,0.03978611263448462,0.0847035501478826,0.006263987626880407,0.9736841917037964,0.002171474974602461
students_dropout_and_academic_success,RealMLP_GPU,2949,1475,3,0.31808219120680126,0.5735300379859215,0.028550105169415474,0.783728837966919,0.002551540033891797
website_phishing,RealMLP_GPU,902,451,3,0.12618057877112998,0.36929622756829994,0.019265182316303253,0.915742814540863,0.001801373902708292
